family,genus,species,lme,fao,survey,herbivory,feedingtype,feeding.mode,dietroph,foodtroph,level.diet,tl,body.shape,body.shape.lateral,body.shape.cross,fin.shape,fin.shape.fishbase,AR,level.AR,egg.size,level.egg.size,spawning.type.fb,spawning.type,Linf,K,level.growth,Lmax,level.Lmax,tmax,level.longevity,tm,Lm,level.maturity,fecundity,level.fecundity,habitat
Acanthuridae,Acanthurus,bahianus,6,31,NA,mainly_plants-detritus_(troph._2-2.19),grazing_on_aquatic_plants,herbivorous,2,2,spe,2,compressiform,short_and_-_or_deep,NA,more_or_less_truncate,other_(see_remark),2.428510666,spe,0.680000007,gen,Open_water-substratum_egg_scatterers,open_water-substratum,27.31800079,0.382999986,spe-fao,20.25,spe-fao,11.5,spe-fao,2.666666667,NA,gen-ocean,1055628,fam-ocean,reef-associated
Acanthuridae,Acanthurus,chirurgus,5,31,NA,mainly_plants-detritus_(troph._2-2.19),grazing_on_aquatic_plants,herbivorous,2.09,2,spe,2.09,short_and_-_or_deep,short_and_-_or_deep,NA,more_or_less_truncate,other_(see_remark),1.867169499,spe,0.680000007,gen,Open_water-substratum_egg_scatterers,open_water-substratum,34.10000038,0.356122356,spe-fao,33,spe-fao,13,spe-fao,2.666666667,NA,gen-ocean,1055628,fam-ocean,reef-associated
Acanthuridae,Acanthurus,coeruleus,6,31,NA,mainly_plants-detritus_(troph._2-2.19),browsing_on_substrate,herbivorous,NA,2,spe,2,short_and_-_or_deep,short_and_-_or_deep,NA,more_or_less_truncate,more_or_less_truncate,3.489294291,spe,0.680000007,gen,open_water-substratum_egg_scatterers,open_water-substratum,35.36400223,0.231198807,spe-fao,29.5,spe-fao,21.5,spe-fao,2.666666667,NA,gen-ocean,1055628,fam-ocean,reef-associated
Achiridae,Achirus,lineatus,6,31,NA,mainly_animals_(troph._2.8_and_up),hunting_macrofauna_(predator),benthivorous,3.52,3.67,spe,3.52,flat,short_and_-_or_deep,NA,rounded,other_(see_remark),1.213992596,spe,0.75,fam,NA,open_water-substratum,20.89999962,1.092000008,gen-ocean,33.1,spe,7,fam-ocean,1.666666667,NA,fam-ocean,NA,NA,reef-associated
Achiridae,Achirus,lineatus,5,31,NA,mainly_animals_(troph._2.8_and_up),hunting_macrofauna_(predator),benthivorous,3.52,3.67,spe,3.52,flat,short_and_-_or_deep,NA,rounded,other_(see_remark),1.213992596,spe,0.75,fam,NA,open_water-substratum,20.89999962,1.092000008,gen-ocean,33.1,spe,7,fam-ocean,1.666666667,NA,fam-ocean,NA,NA,reef-associated
Achiridae,Gymnachirus,melas,5,31,NA,NA,NA,generalists,3.52,3.482857143,family,3.52,flat,NA,NA,rounded,NA,1.393795371,spe,0.75,fam,Open_water-substratum_egg_scatterers,open_water-substratum,20.89999962,0.194999993,fam-fao,22,spe,7,fam-ocean,1.666666667,NA,fam-ocean,15500,NA,demersal
Achiridae,Gymnachirus,melas,6,31,NA,NA,NA,generalists,3.52,3.482857143,family,3.52,flat,NA,NA,rounded,NA,1.393795371,spe,0.75,fam,Open_water-substratum_egg_scatterers,open_water-substratum,20.89999962,0.194999993,fam-eco,22,spe,7,fam-ocean,1.666666667,NA,fam-ocean,15500,NA,demersal
Achiridae,Gymnachirus,texae,5,31,NA,NA,NA,generalists,3.52,3.482857143,family,3.52,flat,NA,NA,rounded,NA,1.393795371,gen,0.75,fam,NA,open_water-substratum,20.89999962,0.194999993,fam-fao,22,spe,7,fam-ocean,1.666666667,NA,fam-ocean,NA,NA,demersal
Achiridae,Trinectes,inscriptus,5,31,NA,mainly_animals_(troph._2.8_and_up),hunting_macrofauna_(predator),benthivorous,NA,3.5,spe,3.5,flat,NA,NA,rounded,NA,0.872097452,gen,0.75,gen,NA,open_water-substratum,20.89999962,0.194999993,gen-fao,15,spe,7,gen-ocean,1.666666667,NA,gen-ocean,NA,NA,demersal
Achiridae,Trinectes,maculatus,6,31,NA,mainly_animals_(troph._2.8_and_up),NA,benthivorous,NA,3.41,genus,3.41,flat,short_and_-_or_deep,NA,rounded,NA,0.872097452,gen,0.75,spe,NA,open_water-substratum,20.89999962,0.194999993,spe-eco,20,spe,7,spe-ocean,1.666666667,NA,spe-ocean,NA,NA,demersal
