class,order,family,genus,genus,lvl_dvp,hbt,lat,lat_n,lat_s,length_avg,width_avg,length_max,width_max,fecundity,weight_avg,weight_max
malacostraca,decapoda,pandalidae,atlantopandalus,propinqvus,NA,benthopelagic,34.459,72.42516667,37.96699905,NA,NA,NA,NA,NA,0.045,NA
cephalopoda,oegopsida,gonatidae,berryteuthis,magister,direct,pelagic,25.53,61.66659927,36.13299942,340,NA,430,NA,40000,NA,2.6
malacostraca,decapoda,pasiphaeidae,pasiphaea,multidentata,NA,pelagic,100.932,75.332,-25.6,NA,NA,105,NA,NA,NA,NA
malacostraca,decapoda,sergestidae,sergestes,arcticus,planktotrophic,pelagic,125.408,71.481,-53.92667007,NA,NA,14,NA,NA,NA,NA
asteroidea,notomyotida,benthopectinidae,cheiraster,dawsoni,NA,benthic,11.25,56.9073,45.6647,NA,NA,170,NA,NA,NA,NA
malacostraca,decapoda,oregoniidae,chionoecetes,bairdi,planktotrophic ,benthic,12,60,48,NA,NA,15,140,200000,0.997,NA
bivalvia,pectinida,pectinidae,chlamys,rubida ,planktotrophic,benthic,40.029,68.27999878,28.25,60,NA,70,NA,NA,NA,NA
cephalopoda,octopoda,enteroctopodidae,enteroctopus,dofleini ,direct,benthic,45,67,22,550,NA,NA,NA,50000,60,272
echinoidea,clypeasteroida,echinarachniidae,echinarachnius,parma,planktotrophic,benthic,101.254,75.03166962,-26.222,75,NA,NA,NA,NA,NA,NA
asteroidea,valvatida,solasteridae,crossaster,papposus,lecithotrophic,benthic,48.23,82.15000153,33.92499924,150,NA,300,NA,6000,NA,NA
gastropoda,littorinimorpha,cymatiidae,fusitriton,oregonensis,planktotrophic,benthic,22.28,55,32.7157,85,NA,130,64,1500000,0.051,NA
cephalopoda,sepiida,sepiolidae,rossia,pacifica,direct,benthic,29.45,61.45000076,32,40,NA,NA,NA,NA,NA,NA
echinoidea,camarodonta,strongylocentrotidae,strongylocentrotus,droebachiensis ,planktotrophic ,benthic,38.283,"	76.0500",38,78,NA,80,NA,150000,NA,NA
asteroidea,forcipulatida,asteriidae,asterias,amurensis,planktotrophic,benthic,111.163,68,-43,450,NA,500,NA,20000000,NA,NA
asteroidea,forcipulatida,asteriidae,leptasterias,polaris,lecithotrophic,benthic,33.0855,"	74.6840",42,174,NA,500,NA,3000,NA,NA
malacostraca,decapoda,oregoniidae,hyas,coarctatus,planktotrophic,benthic,32.5849,"		71.8149",39,60,49,NA,NA,4750,NA,0.75
bivalvia,pectinida,pectinidae,patinopecten,caurinus ,planktotrophic ,benthic,28,64,36,165,NA,300,NA,NA,NA,NA
asteroidea,forcipulatida,asteriidae,pycnopodia,helianthoides ,lecithotrophic,benthic,22.2843,55,32.7157,525,NA,1000,NA,NA,5,NA
malacostraca,decapoda,geryonidae,chaceon,quinquedens ,planktotrophic,benthic,89.7,54.12,-35.58000183,80,NA,180,NA,215000,NA,NA
malacostraca,decapoda,sicyoniidae,sicyonia,brevirostris ,lecithotrophic,benthic,32.253,43.45029831,11.1965,NA,NA,150,NA,NA,NA,NA
malacostraca,decapoda,oregoniidae,chionoecetes,opilio,planktotrophic,benthic,32.788,71.97732,39.189967,NA,97.5,NA,150,86000,0.5,1.35
gastropoda,neogastropoda,buccinidae,buccinum,scalariforme,NA,benthic,33.867,76.96585083,43.09999847,65,NA,85,NA,NA,NA,NA
gastropoda,neogastropoda,buccinidae,neptunea,lyrata,direct,benthic,30.203,70,40,90,NA,200,NA,NA,NA,NA
malacostraca,decapoda,aethridae,hepatus,epheliticus,planktotrophic,benthic,16.138,35,18,NA,NA,60,NA,NA,NA,NA
asteroidea,paxillosida,luidiidae,luidia,foliolata,planktotrophic,benthic,27.867,59.86700058,32,NA,NA,600,NA,100000,NA,NA
asteroidea,valvatida,goniasteridae,hippasteria,phrygiana,NA,benthic,146.405,76.96585083,-69.44,NA,NA,200,NA,NA,NA,NA
asteroidea,forcipulatida,asteriidae,rathbunaster,californicus,lecithotrophic,benthic,14.0712,46.07167053,32,NA,NA,NA,NA,NA,NA,NA
malacostraca,stomatopoda,squillidae,squilla,empusa,planktotrophic ,benthic,38.707,43.68999863,4.982999802,185,NA,NA,NA,50000,NA,NA
malacostraca,decapoda,leucosiidae,persephona,mediterranea,NA,benthic,59.196,35.22700119,-23.9694,NA,39.5,60,20,NA,NA,NA
malacostraca,decapoda,oregoniidae,hyas,lyratus,planktotrophic,benthic,13.8,61.8183,48.02000046,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,lithodidae,lithodes,aequispinus,lecithotrophic,benthic,19.751,59.3666687,39.6155,NA,NA,40,NA,4500,NA,NA
bivalvia,mytilida,mytilidae,modiolus,modiolus,planktotrophic,benthic,71.736,67.07533333,-4.66149,150,NA,200,NA,1000000,NA,NA
malacostraca,decapoda,oregoniidae,oregonia,gracilis,NA,benthic,50.401,60.52000046,10.1185,NA,30,75,NA,NA,NA,NA
echinoidea,camarodonta,strongylocentrotidae,strongylocentrotus,fragilis,planktotrophic,benthic,26.466,54,28,100,NA,NA,NA,NA,NA,NA
ophiuroidea,euryalida,gorgonocephalidae,gorgonocephalus,eucnemis,planktotrophic,benthic,118.522,81.92299652,-36.59999847,80,NA,760,NA,NA,NA,NA
bivalvia,cardiida,cardiidae,ciliatocardium,ciliatum,NA,benthic,66.248,"	78.2488",12,NA,NA,75,NA,NA,NA,NA
malacostraca,decapoda,crangonidae,crangon,dalli    ,planktotrophic,benthic,18.65,67.5,48.85,NA,NA,NA,NA,NA,NA,NA
gastropoda,neogastropoda,buccinidae,buccinum,polare,planktotrophic,benthic,27.068,71.97732,44.9095235,NA,NA,67,NA,NA,NA,NA
gastropoda,neogastropoda,buccinidae,buccinum,angulosum,planktotrophic,benthic,10.948,70.93000031,59.98167038,NA,NA,NA,NA,NA,NA,NA
gastropoda,neogastropoda,buccinidae,buccinum,plectrum,planktotrophic,benthic,21.564,69.79666901,48.23333333,NA,NA,60,NA,NA,NA,NA
gastropoda,neogastropoda,buccinidae,clinopegma,magnum,NA,benthic,12.883,71.90038,59.01699829,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,nephropidae,homarus,americanus,planktotrophic,benthic,19,54,35,250,NA,1100,NA,75000,NA,20
malacostraca,decapoda,ovalipidae,ovalipes,ocellatus   ,NA,benthic,19.683,48.35,28.66721916,NA,NA,65,87,200000,NA,NA
bivalvia,mytilida,mytilidae,musculus,discors   ,planktotrophic,benthic,87.155,81.125,-6.03,NA,NA,55,NA,NA,NA,NA
gastropoda,neogastropoda,buccinidae,plicifusus,kroeyeri,NA,benthic,23.02,71.16,48.14,NA,NA,85,NA,NA,NA,NA
asteroidea,velatida,pterasteridae,pteraster,obscurus,lecithotrophic,benthic,33.842,"	80.1170",46,NA,NA,NA,NA,NA,NA,NA
bivalvia,pectinida,pectinidae,amusium,papyraceum,planktotrophic ,benthic,28.1,30.05,1.95,53,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,inachoididae,anasimus,latus,NA,benthic,28.18,"	34.1333",5.95,NA,NA,NA,NA,NA,NA,NA
polychaeta,phyllodocida,polynoidae,eunoe,depressa,planktotrophic,benthic,50.616,72,"	20.9150",NA,NA,30,NA,NA,NA,NA
gastropoda,littorinimorpha,naticidae,euspira,pallida,planktotrophic,benthic,70.625,81,11,NA,NA,NA,NA,NA,NA,NA
asteroidea,forcipulatida,asteriidae,evasterias,echinosoma,lecithotrophic,benthic,20.113,68,48,960,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,cancridae,glebocarcinus,oregonensis,NA,benthic,12.49,60,48,NA,NA,40,50,NA,NA,NA
malacostraca,decapoda,crangonidae,neocrangon,communis,planktotrophic,benthic,22.931,72,49,70,NA,80,NA,2200,NA,NA
bivalvia,cardiida,tellinidae,tellina,lutea,NA,benthic,3.72,67,63,100,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,calappidae,calappa,sulcata,NA,benthic,30.241,35,5,NA,NA,NA,145,NA,0.29,0.72
malacostraca,decapoda,penaeidae,farfantepenaeus,aztecus,lecithotrophic,benthic,54.24,51.7406,-2.5,NA,NA,220,NA,55000,NA,NA
malacostraca,decapoda,penaeidae,farfantepenaeus,duorarum,lecithotrophic,benthic,31.02,38.9826,7.963799953,NA,NA,280,NA,NA,NA,NA
malacostraca,decapoda,epialtidae,libinia,emarginata,lecithotrophic,benthic,26.768,44.97985204,18.21105766,60.6,NA,100,NA,NA,NA,NA
cephalopoda,octopoda,bathypolypodidae,bathypolypus,arcticus,direct,benthic,71.9,81.23329926,9.3294,60,NA,100,NA,NA,NA,0.4
malacostraca,decapoda,thoridae,lebbeus,polaris ,lecithotrophic,benthic,43,80,37.07500076,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,lithodidae,lithodes,maja,lecithotrophic,benthic,36.099,71.86516667,35.76666641,NA,NA,120,NA,8500,NA,2
malacostraca,decapoda,ovalipidae,ovalipes,stephensoni,NA,benthic,17.47,41.75,24.28365,NA,NA,NA,NA,NA,NA,NA
malacostraca,decapoda,thoridae,lebbeus,groenlandicus ,lecithotrophic,benthic,28.1,69.06700134,40.96699905,40,NA,107,NA,NA,NA,NA
malacostraca,decapoda,menippidae,menippe,mercenaria,planktotrophic,benthic,25.61,35,9.39965833,NA,NA,NA,NA,6000000,NA,NA
polychaeta,phyllodocida,polynoidae,eunoe,nodosa,planktotrophic,benthic,31.208,72.4252,41.217,NA,NA,90,30,NA,NA,NA
asteroidea,forcipulatida,asteriidae,lethasterias,nanimensis,lecithotrophic,benthic,22.7,"	68.7500","	46.0500",NA,NA,NA,NA,NA,NA,NA
