taxa,worms_id,kingdom,phylum,class,order,family,genus,isMarine,rank,spp
Anoplopoma fimbria,159463,Animalia,Chordata,Actinopteri,Perciformes,Anoplopomatidae,Anoplopoma,1,Species,Anoplopoma fimbria
Aptocyclus ventricosus,254299,Animalia,Chordata,Actinopteri,Perciformes,Cyclopteridae,Aptocyclus,1,Species,Aptocyclus ventricosus
Atheresthes evermanni,279791,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Atheresthes,1,Species,Atheresthes evermanni
Atheresthes stomias,279792,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Atheresthes,1,Species,Atheresthes stomias
Bathymaster signatus,254513,Animalia,Chordata,Actinopteri,Perciformes,Bathymasteridae,Bathymaster,1,Species,Bathymaster signatus
Bathyraja aleutica,271506,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,1,Species,Bathyraja aleutica
Bathyraja maculata,271520,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,1,Species,Bathyraja maculata
Bathyraja parmifera,271528,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,1,Species,Bathyraja parmifera
Bathyraja taranetzi,298834,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,1,Species,Bathyraja taranetzi
Berryteuthis magister,342286,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Berryteuthis,1,Species,Berryteuthis magister
Careproctus rastrinus,274464,Animalia,Chordata,Actinopteri,Perciformes,Liparidae,Careproctus,1,Species,Careproctus rastrinus
Chionoecetes bairdi,368558,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,1,Species,Chionoecetes bairdi
Chlamys rubida,254460,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,1,Species,Chlamys rubida
Dasycottus setiger,280488,Animalia,Chordata,Actinopteri,Perciformes,Psychrolutidae,Dasycottus,1,Species,Dasycottus setiger
Enteroctopus dofleini,342305,Animalia,Mollusca,Cephalopoda,Octopoda,Enteroctopodidae,Enteroctopus,1,Species,Enteroctopus dofleini
Erimacrus isenbeckii,440405,Animalia,Arthropoda,Malacostraca,Decapoda,Cheiragonidae,Erimacrus,1,Species,Erimacrus isenbeckii
Eumicrotremus orbis,254535,Animalia,Chordata,Actinopteri,Perciformes,Cyclopteridae,Eumicrotremus,1,Species,Eumicrotremus orbis
Fusitriton oregonensis,476496,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cymatiidae,Fusitriton,1,Species,Fusitriton oregonensis
Gadus macrocephalus,254538,Animalia,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,1,Species,Gadus macrocephalus
Glyptocephalus zachirus,274287,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Glyptocephalus,1,Species,Glyptocephalus zachirus
Gorgonocephalus eucnemis,124969,Animalia,Echinodermata,Ophiuroidea,Euryalida,Gorgonocephalidae,Gorgonocephalus,1,Species,Gorgonocephalus eucnemis
