Location,lat,lon,YY,MM,DD,hh,WD,WSP,D GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,YYYY
41005_SC,31.7,-79.7,80,1,1,0,288,9.4,12.2,99,99,99,999,1011.4,12.7,21.5,999,99,1980
41005_SC,31.7,-79.7,80,1,1,1,290,9.1,12.7,99,99,99,999,1011.7,12.6,21.4,999,99,1980
41005_SC,31.7,-79.7,80,1,1,2,291,8.4,11,99,99,99,999,1011.8,12.4,21.2,999,99,1980
41005_SC,31.7,-79.7,80,1,1,3,290,6.2,9.2,99,99,99,999,1012,12.5,21.1,999,99,1980
41005_SC,31.7,-79.7,80,1,1,4,287,7.6,10.2,99,99,99,999,1012.1,12.5,21.1,999,99,1980
41005_SC,31.7,-79.7,80,1,1,5,272,8.6,11.6,99,99,99,999,1012,12.5,20.9,999,99,1980
41005_SC,31.7,-79.7,80,1,1,6,276,9.4,13.2,99,99,99,999,1011.5,11.8,20.7,999,99,1980
41005_SC,31.7,-79.7,80,1,1,7,268,8.2,10.9,99,99,99,999,1011.5,11.8,20.7,999,99,1980
41005_SC,31.7,-79.7,80,1,1,8,263,7.7,11.5,99,99,99,999,1011.5,11.5,20.8,999,99,1980
41005_SC,31.7,-79.7,80,1,1,9,270,6.6,9.8,99,99,99,999,1011.2,11.5,20.9,999,99,1980
41005_SC,31.7,-79.7,80,1,1,10,262,9.1,11.5,99,99,99,999,1010.5,11.2,21.1,999,99,1980
41005_SC,31.7,-79.7,80,1,1,11,263,7.2,10.6,99,99,99,999,1010,11.1,21,999,99,1980
41005_SC,31.7,-79.7,80,1,1,12,269,6.6,9.1,99,99,99,999,1010.3,11.1,21,999,99,1980
41005_SC,31.7,-79.7,80,1,1,13,282,9.5,13.1,99,99,99,999,1010.5,11,20.8,999,99,1980
41005_SC,31.7,-79.7,80,1,1,14,283,11,13.3,99,99,99,999,1010.7,11.1,20.6,999,99,1980
41005_SC,31.7,-79.7,80,1,1,15,283,10.8,13.6,99,99,99,999,1011.3,11.1,20.5,999,99,1980
41005_SC,31.7,-79.7,80,1,1,16,277,12.1,15.4,99,99,99,999,1011.4,10.9,20.3,999,99,1980
41005_SC,31.7,-79.7,80,1,1,17,250,10.8,14.6,99,99,99,999,1010.8,10.8,20.2,999,99,1980
41005_SC,31.7,-79.7,80,1,1,18,285,12,15.8,99,99,99,999,1009.8,10.5,20.2,999,99,1980
