temp_variable,sign,trait_variable,AICc,converge
max_sst_temp_change_abs_lag1_scaled,*,age.max_ocean_scaled,3358.97543,TRUE
max_sst_temp_change_abs_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3359.905912,TRUE
max_sst_temp_change_abs_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3360.730344,TRUE
max_sst_temp_change_abs_lag1_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3360.837189,TRUE
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled,3361.769241,TRUE
max_sst_temp_change_abs_lag1_scaled,+,age.max_ocean_scaled,3362.308962,TRUE
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3363.140483,TRUE
max_sst_temp_change_abs_lag1_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3363.204765,TRUE
max_sst_temp_change_abs_lag1_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3363.260213,TRUE
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3363.634926,TRUE
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3363.692651,TRUE
max_sst_temp_scaled,*,age.max_ocean_scaled,3363.863333,TRUE
max_sbt_temp_lag6_scaled,*,age.max_ocean_scaled,3363.931798,TRUE
max_sst_temp_change_abs_lag1_scaled,+,age.max_ocean_scaled + age.maturity_ocean_scaled,3364.042655,TRUE
max_sst_temp_change_abs_lag1_scaled,+,age.max_ocean_scaled + length.max_ocean_scaled,3364.181233,TRUE
max_sst_temp_change_abs_lag1_scaled,+,length.max_ocean_scaled + age.max_ocean_scaled,3364.181233,TRUE
max_sbt_temp_lag4_scaled,*,age.max_ocean_scaled,3364.24444,TRUE
seas_sbt_temp_lag6_scaled,*,age.max_ocean_scaled,3364.271429,TRUE
max_sst_temp_lag1_scaled,*,age.max_ocean_scaled,3364.318749,TRUE
max_sbt_temp_lag3_scaled,*,age.max_ocean_scaled,3364.346659,TRUE
max_sst_temp_change_abs_lag1_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3364.443425,TRUE
max_sst_temp_change_abs_lag1_scaled,*,tl_ocean_scaled + age.max_ocean_scaled,3364.588318,TRUE
min_sst_temp_lag10_scaled,*,age.max_ocean_scaled,3365.089362,TRUE
max_sst_temp_change_abs_lag1_scaled,+,age.maturity_ocean_scaled,3365.089888,TRUE
min_sst_temp_change_lag8_scaled,+,age.max_ocean_scaled,3365.097048,TRUE
max_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3365.165013,TRUE
max_sst_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3365.25957,TRUE
seas_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3365.423945,TRUE
max_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3365.490313,TRUE
max_sst_temp_change_abs_lag1_scaled,*,age.maturity_ocean_scaled,3365.497654,TRUE
max_sst_temp_change_abs_lag1_scaled,+,age.maturity_ocean_scaled + tl_ocean_scaled,3365.572695,TRUE
max_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3365.590467,TRUE
seas_sbt_temp_scaled,*,age.max_ocean_scaled,3365.660246,TRUE
max_sst_temp_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3365.702728,TRUE
max_sst_temp_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3365.774348,TRUE
max_sst_temp_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3365.793245,TRUE
