temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled,3647.557342,TRUE,0
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3649.01308,TRUE,1.455737621
max_sst_temp_lag4_scaled,*,age.max_ocean_scaled,3649.209949,TRUE,1.652607314
max_sst_temp_lag10_scaled,*,age.max_ocean_scaled,3649.218784,TRUE,1.661441864
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3649.231116,TRUE,1.673773823
max_sst_temp_lag3_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3649.239364,TRUE,1.682022161
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3649.474969,TRUE,1.917626719
max_sst_temp_lag10_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3649.791836,TRUE,2.234494415
max_sbt_temp_lag6_scaled,*,age.max_ocean_scaled,3649.985966,TRUE,2.428623819
max_sbt_temp_lag4_scaled,*,age.max_ocean_scaled,3650.118459,TRUE,2.561116953
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled,3650.138357,TRUE,2.581015259
seas_sbt_temp_lag6_scaled,*,age.max_ocean_scaled,3650.391946,TRUE,2.834603608
max_sst_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3650.613953,TRUE,3.056610649
max_sst_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3650.652608,TRUE,3.095266175
max_sst_temp_lag10_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3650.828307,TRUE,3.270965047
max_sst_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3650.869302,TRUE,3.311960472
max_sst_temp_lag2_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3650.88239,TRUE,3.325048364
max_sbt_temp_lag3_scaled,*,age.max_ocean_scaled,3651.088468,TRUE,3.531125875
max_sst_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3651.121494,TRUE,3.564152079
max_sst_temp_lag6_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3651.149073,TRUE,3.591731215
max_sst_temp_lag10_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3651.158525,TRUE,3.601182632
max_sst_temp_scaled,*,age.max_ocean_scaled,3651.19452,TRUE,3.637178134
max_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3651.26695,TRUE,3.709608074
max_sst_temp_lag8_scaled,*,age.max_ocean_scaled,3651.348425,TRUE,3.79108346
max_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3651.421212,TRUE,3.863870538
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3651.548392,TRUE,3.99105043
seas_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3651.584872,TRUE,4.027529659
max_sst_temp_lag4_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3651.689016,TRUE,4.131673578
max_sst_temp_lag5_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3651.758464,TRUE,4.201122191
max_sst_temp_lag5_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3651.835772,TRUE,4.27843001
