temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
max_sst_temp_change_abs_lag1_scaled,*,age.max_ocean_scaled,3691.995949,TRUE,0
max_sbt_temp_lag6_scaled,*,age.max_ocean_scaled,3692.682683,TRUE,0.686734
max_sbt_temp_lag4_scaled,*,age.max_ocean_scaled,3692.984337,TRUE,0.988388
max_sst_temp_change_abs_lag1_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3692.9912,TRUE,0.995251
max_sbt_temp_lag3_scaled,*,age.max_ocean_scaled,3693.78359,TRUE,1.787641
max_sst_temp_change_abs_lag1_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3693.815721,TRUE,1.819772
max_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3693.946096,TRUE,1.950147
max_sst_temp_change_abs_lag1_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3694.000168,TRUE,2.004219
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled,3694.063599,TRUE,2.06765
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled,3694.090219,TRUE,2.09427
max_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3694.265705,TRUE,2.269756
seas_sbt_temp_lag6_scaled,*,age.max_ocean_scaled,3694.370208,TRUE,2.374259
max_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3694.583022,TRUE,2.587073
max_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3694.603248,TRUE,2.607299
max_sst_temp_scaled,*,age.max_ocean_scaled,3694.847704,TRUE,2.851755
max_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3694.857855,TRUE,2.861906
max_sbt_temp_lag4_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3694.90462,TRUE,2.908671
max_sbt_temp_scaled,*,age.max_ocean_scaled,3694.975951,TRUE,2.980002
max_sst_temp_change_abs_lag1_scaled,+,age.max_ocean_scaled,3694.993564,TRUE,2.997615
min_sbt_temp_lag7_scaled,*,age.max_ocean_scaled,3695.004482,TRUE,3.008533
max_sbt_temp_lag5_scaled,*,age.max_ocean_scaled,3695.031179,TRUE,3.03523
max_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3695.039201,TRUE,3.043252
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled,3695.127721,TRUE,3.131772
max_sbt_temp_lag8_scaled,*,age.max_ocean_scaled,3695.346455,TRUE,3.350506
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3695.379942,TRUE,3.383993
seas_sbt_temp_scaled,*,age.max_ocean_scaled,3695.406893,TRUE,3.410944
seas_sbt_temp_lag4_scaled,*,age.max_ocean_scaled,3695.435987,TRUE,3.440038
seas_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3695.487508,TRUE,3.491559
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3695.531898,TRUE,3.535949
max_sbt_temp_lag9_scaled,*,age.max_ocean_scaled,3695.585313,TRUE,3.589364
max_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3695.675931,TRUE,3.679982
max_sbt_temp_lag3_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3695.707136,TRUE,3.711187
max_sbt_temp_lag2_scaled,*,age.max_ocean_scaled,3695.789627,TRUE,3.793678
min_sbt_temp_lag3_scaled,*,age.max_ocean_scaled,3695.7912,TRUE,3.795251
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3695.936605,TRUE,3.940656
max_sst_temp_lag3_scaled,*,age.max_ocean_scaled,3695.940948,TRUE,3.944999
max_sst_temp_change_abs_lag1_scaled,+,age.max_ocean_scaled + tl_ocean_scaled,3695.950265,TRUE,3.954316
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3696.027709,TRUE,4.03176
min_sbt_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3696.054765,TRUE,4.058816
min_sst_temp_lag9_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3696.080551,TRUE,4.084602
seas_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3696.106676,TRUE,4.110727
seas_sbt_temp_lag6_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3696.15129,TRUE,4.155341
max_sbt_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3696.167342,TRUE,4.171393
max_sst_temp_lag1_scaled,*,age.max_ocean_scaled,3696.218648,TRUE,4.222699
max_sst_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3696.255595,TRUE,4.259646
max_sbt_temp_lag5_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3696.293523,TRUE,4.297574
min_sbt_temp_lag7_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3696.327939,TRUE,4.33199
min_sbt_temp_lag10_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3696.414676,TRUE,4.418727
