temp_variable,sign,trait_variable,AICc,converge
0,+,0,3210.60650263479,TRUE
max_sst_temp_scaled,+,0,3196.83595093971,TRUE
min_sst_temp_scaled,+,0,3211.74982443238,TRUE
seas_sst_temp_scaled,+,0,3203.17220984507,TRUE
max_sst_temp_lag1_scaled,+,0,3203.06694029214,TRUE
max_sst_temp_lag2_scaled,+,0,3204.97869791431,TRUE
max_sst_temp_lag3_scaled,+,0,3207.7166553148,TRUE
max_sst_temp_lag4_scaled,+,0,3207.77761859337,TRUE
max_sst_temp_lag5_scaled,+,0,3208.26860841119,TRUE
max_sst_temp_lag6_scaled,+,0,3207.24470799363,TRUE
max_sst_temp_lag7_scaled,+,0,3203.02070740616,TRUE
max_sst_temp_lag8_scaled,+,0,3200.31853850639,TRUE
max_sst_temp_lag9_scaled,+,0,3205.10152833854,TRUE
max_sst_temp_lag10_scaled,+,0,3202.21275171782,TRUE
min_sst_temp_lag1_scaled,+,0,3211.58234426543,TRUE
min_sst_temp_lag2_scaled,+,0,3211.5113837397,TRUE
min_sst_temp_lag3_scaled,+,0,3211.21900993019,TRUE
min_sst_temp_lag4_scaled,+,0,3212.43229830593,TRUE
min_sst_temp_lag5_scaled,+,0,3210.96383772879,TRUE
min_sst_temp_lag6_scaled,+,0,3212.14295014701,TRUE
min_sst_temp_lag7_scaled,+,0,3210.87095701765,TRUE
min_sst_temp_lag8_scaled,+,0,3210.27207927941,TRUE
min_sst_temp_lag9_scaled,+,0,3211.67584502805,TRUE
min_sst_temp_lag10_scaled,+,0,3211.9136797104,TRUE
seas_sst_temp_lag1_scaled,+,0,3207.01691053947,TRUE
seas_sst_temp_lag2_scaled,+,0,3208.01886541107,TRUE
seas_sst_temp_lag3_scaled,+,0,3198.74487108862,TRUE
seas_sst_temp_lag4_scaled,+,0,3207.26896651051,TRUE
seas_sst_temp_lag5_scaled,+,0,3210.78753382582,TRUE
seas_sst_temp_lag6_scaled,+,0,3207.23979377059,TRUE
seas_sst_temp_lag7_scaled,+,0,3206.57675907046,TRUE
seas_sst_temp_lag8_scaled,+,0,3205.4735321558,TRUE
seas_sst_temp_lag9_scaled,+,0,3206.94039811304,TRUE
