temp_variable,sign,trait_variable,AICc,converge,DeltaAIC
max_sst_temp_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3400.5542,TRUE,0
max_sst_temp_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3400.786007,TRUE,0.2318068
max_sst_temp_lag2_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3401.875264,TRUE,1.32106323
max_sst_temp_lag2_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3402.235555,TRUE,1.681354158
max_sst_temp_lag6_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3402.64729,TRUE,2.09308912
max_sst_temp_lag6_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3402.771161,TRUE,2.21696085
max_sst_temp_scaled,*,length.max_ocean_scaled,3402.975848,TRUE,2.421647129
max_sst_temp_lag5_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3403.076257,TRUE,2.522056174
max_sst_temp_lag5_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3403.210401,TRUE,2.656200447
max_sst_temp_scaled,*,length.max_ocean_scaled + tl_ocean_scaled,3404.106422,TRUE,3.552221472
max_sst_temp_scaled,*,age.maturity_ocean_scaled + age.max_ocean_scaled,3404.146926,TRUE,3.592725296
max_sst_temp_lag2_scaled,*,length.max_ocean_scaled,3404.153721,TRUE,3.599520871
max_sst_temp_scaled,*,age.maturity_ocean_scaled,3404.487438,TRUE,3.933237401
max_sst_temp_scaled,*,age.maturity_ocean_scaled + tl_ocean_scaled,3404.601755,TRUE,4.047555045
max_sst_temp_lag6_scaled,*,length.max_ocean_scaled,3404.955466,TRUE,4.401265911
max_sst_temp_lag1_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3405.126041,TRUE,4.571840767
max_sst_temp_lag5_scaled,*,length.max_ocean_scaled,3405.377008,TRUE,4.822807685
max_sst_temp_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3405.385933,TRUE,4.831732792
max_sst_temp_lag1_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3405.431656,TRUE,4.877455623
max_sst_temp_lag2_scaled,*,length.max_ocean_scaled + tl_ocean_scaled,3405.441673,TRUE,4.887472921
max_sst_temp_lag10_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3405.454643,TRUE,4.900442636
max_sst_temp_lag10_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3405.490576,TRUE,4.936375237
max_sst_temp_scaled,*,age.max_ocean_scaled,3405.594264,TRUE,5.040063758
max_sst_temp_scaled,*,age.maturity_ocean_scaled + length.max_ocean_scaled,3405.950117,TRUE,5.395916292
max_sst_temp_lag6_scaled,*,length.max_ocean_scaled + tl_ocean_scaled,3406.188823,TRUE,5.634622657
max_sst_temp_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3406.479591,TRUE,5.925391
max_sst_temp_lag5_scaled,*,length.max_ocean_scaled + tl_ocean_scaled,3406.609924,TRUE,6.055723709
min_sst_temp_lag8_scaled,*,age.max_ocean_scaled,3406.759241,TRUE,6.205040562
max_sst_temp_lag8_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3406.943414,TRUE,6.389214016
max_sst_temp_lag8_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3407.038421,TRUE,6.484220163
max_sst_temp_lag7_scaled,*,length.max_ocean_scaled + age.max_ocean_scaled,3407.106821,TRUE,6.552620523
max_sst_temp_scaled,*,age.max_ocean_scaled + length.max_ocean_scaled,3407.133912,TRUE,6.579711868
max_sst_temp_lag7_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3407.145384,TRUE,6.591183474
max_sst_temp_lag8_scaled,*,age.max_ocean_scaled + age.maturity_ocean_scaled,3407.596583,TRUE,7.042382226
max_sst_temp_lag1_scaled,*,length.max_ocean_scaled,3407.705659,TRUE,7.151458765
max_sst_temp_lag3_scaled,*,length.max_ocean_scaled + age.maturity_ocean_scaled,3407.823201,TRUE,7.269000732
min_sst_temp_lag8_scaled,*,age.max_ocean_scaled + tl_ocean_scaled,3407.841941,TRUE,7.287740973
min_sst_temp_lag7_scaled,*,age.max_ocean_scaled,3407.886879,TRUE,7.332678068
