variable,coef,p_value,AICc
max_sst_temp_scaled,-1.16574983696146,0.000104638899130556,5602.90087154312
min_sst_temp_scaled,0.176047263941286,0.401971031549555,5614.1971056297
seas_sst_temp_scaled,-0.534826336718629,4.12058741645217e-06,5595.56839534267
max_sst_temp_lag1_scaled,-0.841718630635433,0.00188404300354202,5606.41720651177
max_sst_temp_lag2_scaled,-0.561369555620873,0.02008076127332,5609.50558640747
max_sst_temp_lag3_scaled,-0.436645716419541,0.0289324859022592,5610.00177412688
max_sst_temp_lag4_scaled,-0.632011751572732,0.00179663160599906,5605.43855505429
max_sst_temp_lag5_scaled,-0.561399520697486,0.0025880850506235,5605.90421806007
max_sst_temp_lag6_scaled,-0.485780443739913,0.00626841249245934,5607.26965533389
max_sst_temp_lag7_scaled,-0.320941493821738,0.0571136858070249,5611.08606842662
max_sst_temp_lag8_scaled,-0.513311641163228,0.00270924767671576,5605.7581944593
max_sst_temp_lag9_scaled,-0.433464373221568,0.00810946539520792,5607.66547499442
max_sst_temp_lag10_scaled,-0.528989733553154,0.00147946515623398,5604.68088158545
min_sst_temp_lag1_scaled,-0.172834419572672,0.321784384242,5613.64688877237
min_sst_temp_lag2_scaled,-0.094415092387626,0.601984153521522,5614.27130632125
min_sst_temp_lag3_scaled,-0.155809293055327,0.379681234488416,5614.01179467085
min_sst_temp_lag4_scaled,-0.0596103964600144,0.74799696292026,5614.42953559994
min_sst_temp_lag5_scaled,-0.0167846733182896,0.929819208366218,5614.59252695554
min_sst_temp_lag6_scaled,-0.180444244073567,0.31289195819051,5613.60100711194
min_sst_temp_lag7_scaled,-0.396253479334731,0.0401727707337797,5610.24986437237
min_sst_temp_lag8_scaled,-0.123498495553409,0.486842690473134,5614.0813720801
min_sst_temp_lag9_scaled,-0.508349562319853,0.0067250538124741,5607.15640248957
min_sst_temp_lag10_scaled,-0.242419487566936,0.167022511779466,5612.69790029087
seas_sst_temp_lag1_scaled,-0.269943125056277,0.0214248019446916,5609.9865956811
seas_sst_temp_lag2_scaled,-0.288938047870269,0.0160046603364828,5609.51261535737
seas_sst_temp_lag3_scaled,-0.177149673665591,0.0788927853215962,5611.73461896827
seas_sst_temp_lag4_scaled,-0.314380453100159,0.000986642417665601,5604.57298306104
seas_sst_temp_lag5_scaled,-0.349247379913047,0.000273996201593422,5601.99503514671
seas_sst_temp_lag6_scaled,-0.217412130987704,0.0186651576129768,5609.52225775546
seas_sst_temp_lag7_scaled,-0.0239528131027326,0.779266646469743,5614.48588339581
seas_sst_temp_lag8_scaled,-0.242093327251752,0.00347230883902886,5606.39920492361
seas_sst_temp_lag9_scaled,-0.0415731584223732,0.60602804631015,5614.27945833501
seas_sst_temp_lag10_scaled,-0.190422815903465,0.0173030914000705,5609.10746117158
max_sst_temp_change_scaled,-0.025344846907658,0.530631775750286,5614.15949274773
min_sst_temp_change_scaled,0.0697017372144548,0.0660827204184003,5611.11313506188
seas_sst_temp_change_scaled,-0.0677716503103732,0.0722713627409067,5611.2491526552
max_sst_temp_change_lag1_scaled,-0.0331905878539872,0.446480080044024,5613.93756036603
max_sst_temp_change_lag2_scaled,0.00783478974525399,0.826843278138722,5614.53443855429
max_sst_temp_change_lag3_scaled,0.0486913367435407,0.174103835737175,5612.63511879999
max_sst_temp_change_lag4_scaled,0.00741767290149004,0.844897300411047,5614.56426662324
max_sst_temp_change_lag5_scaled,-0.00861028188382683,0.80849427511277,5614.53246938977
max_sst_temp_change_lag6_scaled,-0.0437773447554308,0.24567150589292,5613.12818377211
max_sst_temp_change_lag7_scaled,0.0622510017586102,0.0817556126037088,5611.43870816471
max_sst_temp_change_lag8_scaled,-0.0165068637834424,0.643220980237061,5614.33914910402
max_sst_temp_change_lag9_scaled,0.039178932145658,0.343897158265122,5613.63113306474
min_sst_temp_change_lag1_scaled,-0.0223598081072561,0.551044006916598,5614.37353350287
min_sst_temp_change_lag2_scaled,0.0194695934305504,0.610527080191539,5614.26495022332
min_sst_temp_change_lag3_scaled,-0.02722004122949,0.479112314588228,5614.04557841756
min_sst_temp_change_lag4_scaled,-0.00799864206784438,0.840096249993766,5614.50698720254
min_sst_temp_change_lag5_scaled,0.0398579081458353,0.291299441357203,5613.65980526168
min_sst_temp_change_lag6_scaled,0.0618060752702399,0.116749836286434,5612.09350236848
min_sst_temp_change_lag7_scaled,-0.0773033908855253,0.0462268601557979,5610.42936941197
min_sst_temp_change_lag8_scaled,0.105472581230708,0.00487224569503459,5606.47341594655
min_sst_temp_change_lag9_scaled,-0.0716885161074694,0.0591626058694177,5610.85692908357
seas_sst_temp_change_lag1_scaled,0.00102375461120046,0.980077041451482,5614.52122451482
seas_sst_temp_change_lag2_scaled,-0.00794343742062655,0.830277176156657,5614.4581943191
seas_sst_temp_change_lag3_scaled,0.0517044630895704,0.158006288044062,5612.48330067891
seas_sst_temp_change_lag4_scaled,0.0109852126647934,0.780079245652626,5614.50392612602
seas_sst_temp_change_lag5_scaled,-0.034752514043236,0.349801586535741,5613.61745434616
seas_sst_temp_change_lag6_scaled,-0.0708780422718024,0.0581888380452856,5611.04429357471
seas_sst_temp_change_lag7_scaled,0.0976906397237856,0.0091838150083438,5607.62224242887
seas_sst_temp_change_lag8_scaled,-0.0856804228938163,0.0192270688853467,5608.97094369408
seas_sst_temp_change_lag9_scaled,0.0782604413982216,0.0463326756359247,5610.53502690014
max_sst_temp_change_abs_scaled,0.146326439349381,0.000539206995747981,5602.61133727882
min_sst_temp_change_abs_scaled,0.0455101766727994,0.250916072066263,5613.28025792512
seas_sst_temp_change_abs_scaled,0.0698538071273036,0.0513923742387001,5610.76233886113
max_sst_temp_change_abs_lag1_scaled,-0.0676596421049672,0.183341947776387,5612.68548273344
max_sst_temp_change_abs_lag2_scaled,-0.0185431726845488,0.609024088426177,5614.32158306554
max_sst_temp_change_abs_lag3_scaled,0.0265042543848928,0.450740088653091,5613.93946627683
max_sst_temp_change_abs_lag4_scaled,-0.0276217454132398,0.466256640395127,5613.9623644541
max_sst_temp_change_abs_lag5_scaled,-0.0284078044338122,0.438270087074605,5613.95917245581
max_sst_temp_change_abs_lag6_scaled,-0.0414272349034687,0.287466519457023,5613.34667345516
max_sst_temp_change_abs_lag7_scaled,-0.00526270744551949,0.886574596472106,5614.62021995615
