variable,coef,p_value,AICc
max_sst_temp_scaled,-1.01572017999847,8.42088007953295e-05,6417.18675257687
min_sst_temp_scaled,0.136558660942603,0.440978335925199,6426.7847228584
seas_sst_temp_scaled,-0.518720928485472,1.10440515526789e-06,6406.62026186838
max_sst_temp_lag1_scaled,-0.654921297607602,0.00261413523750939,6420.16596466772
max_sst_temp_lag2_scaled,-0.476357845083561,0.014785096338615,6422.16192452287
max_sst_temp_lag3_scaled,-0.583737274877226,0.00215181308408564,6419.30803064298
max_sst_temp_lag4_scaled,-0.59209876323548,0.00102743576404536,6417.99849522859
max_sst_temp_lag5_scaled,-0.543798288410153,0.00110171737099471,6417.80763796916
max_sst_temp_lag6_scaled,-0.533595122353302,0.00100596104414226,6417.53990586572
max_sst_temp_lag7_scaled,-0.491683271768198,0.00159274705913354,6418.14060363412
max_sst_temp_lag8_scaled,-0.600687106653509,0.000175410005992664,6414.64163709416
max_sst_temp_lag9_scaled,-0.516945748953221,0.000707961080722354,6416.71480321556
max_sst_temp_lag10_scaled,-0.714246374880731,8.95205366148274e-06,6409.81971527475
min_sst_temp_lag1_scaled,-0.104626816727213,0.522226365535043,6426.84525312434
min_sst_temp_lag2_scaled,0.0764692061608925,0.659354906314021,6427.09351646335
min_sst_temp_lag3_scaled,-0.0666320310362173,0.686592557840047,6427.08581081558
min_sst_temp_lag4_scaled,-0.0503361004867566,0.763855990650807,6427.15893606387
min_sst_temp_lag5_scaled,0.00256938705281969,0.98788703154444,6427.2481298456
min_sst_temp_lag6_scaled,-0.119611532797688,0.461057408236057,6426.71165758991
min_sst_temp_lag7_scaled,-0.336971866328309,0.0479987144669668,6423.28542349823
min_sst_temp_lag8_scaled,-0.144422779734688,0.374922575801396,6426.46804762118
min_sst_temp_lag9_scaled,-0.457809107050215,0.00993167501850324,6420.60254511246
min_sst_temp_lag10_scaled,-0.198694407046738,0.225731704574267,6425.78964880147
seas_sst_temp_lag1_scaled,-0.275367999684546,0.00763346219343297,6421.22718853419
seas_sst_temp_lag2_scaled,-0.367495861178861,0.000363537720314119,6416.3278579737
seas_sst_temp_lag3_scaled,-0.280241400693037,0.00210159817572542,6418.92351071311
seas_sst_temp_lag4_scaled,-0.306593105944585,0.000459400457069718,6416.26853295034
seas_sst_temp_lag5_scaled,-0.349814715307245,5.34937719668116e-05,6412.4588192506
seas_sst_temp_lag6_scaled,-0.27501810459704,0.00119034807792337,6417.73163396372
seas_sst_temp_lag7_scaled,-0.132725621574139,0.084693332389743,6424.62151516223
seas_sst_temp_lag8_scaled,-0.254272291278506,0.000808378988672104,6416.85308600948
seas_sst_temp_lag9_scaled,-0.105328907505237,0.154477214669679,6425.46989010741
seas_sst_temp_lag10_scaled,-0.265931779053784,0.000304191889314363,6415.02839933439
max_sst_temp_change_scaled,-0.0217004458338188,0.561475826414744,6426.90334767355
min_sst_temp_change_scaled,0.0643101576041782,0.0746042776014072,6424.02024164576
seas_sst_temp_change_scaled,-0.0630748457574601,0.080290042344619,6424.13377643578
max_sst_temp_change_lag1_scaled,-0.022946167874253,0.573359504741401,6426.92419133429
max_sst_temp_change_lag2_scaled,0.0355995668792894,0.29700909298753,6426.1387357437
max_sst_temp_change_lag3_scaled,0.0196604927056418,0.56728767080784,6426.91611745264
max_sst_temp_change_lag4_scaled,0.010608738671788,0.767712615360931,6427.15700331548
max_sst_temp_change_lag5_scaled,0.00713111608279843,0.835201452284486,6427.20322634992
max_sst_temp_change_lag6_scaled,-1.68761869660416e-05,0.999616555100255,6427.2479303982
max_sst_temp_change_lag7_scaled,0.0299926311814278,0.38144988278777,6426.46495851234
max_sst_temp_change_lag8_scaled,-0.0129213999081874,0.707710694839432,6427.10482274493
max_sst_temp_change_lag9_scaled,0.0620595012566175,0.116251255552044,6424.75237231953
min_sst_temp_change_lag1_scaled,-0.0485861079070675,0.176073380789621,6425.3717819456
min_sst_temp_change_lag2_scaled,0.0400740207546734,0.269183239998254,6426.00182181932
min_sst_temp_change_lag3_scaled,-0.00560997646083722,0.878667988825235,6427.22298966832
min_sst_temp_change_lag4_scaled,-0.015964471491183,0.672176588525773,6427.06708486217
min_sst_temp_change_lag5_scaled,0.0362868109847513,0.318122154287089,6426.22941810675
min_sst_temp_change_lag6_scaled,0.068874444565183,0.0647754580149756,6423.7916628224
min_sst_temp_change_lag7_scaled,-0.0581304411231833,0.115890655837518,6424.71963091078
min_sst_temp_change_lag8_scaled,0.0877466888000011,0.0154770756749386,6421.28704527007
min_sst_temp_change_lag9_scaled,-0.0698783739964861,0.0530010201216172,6423.40073300346
seas_sst_temp_change_lag1_scaled,0.0283465821780614,0.458729281777512,6426.68800683236
seas_sst_temp_change_lag2_scaled,-0.00280240359152544,0.937750044560961,6427.24191848041
seas_sst_temp_change_lag3_scaled,0.0176617313335082,0.617460077281717,6426.99141769331
seas_sst_temp_change_lag4_scaled,0.0188914556360628,0.612351261508122,6426.98516746881
seas_sst_temp_change_lag5_scaled,-0.0212601194363021,0.554434140063011,6426.89152956464
seas_sst_temp_change_lag6_scaled,-0.0466827876217483,0.194317931959978,6425.53530069765
seas_sst_temp_change_lag7_scaled,0.0598161998127636,0.0911264493724238,6424.33480944381
seas_sst_temp_change_lag8_scaled,-0.0706404346864419,0.0458334012033605,6423.18356612617
seas_sst_temp_change_lag9_scaled,0.0926197884482363,0.0138417168615837,6421.06661398369
max_sst_temp_change_abs_scaled,0.112266670954098,0.00306524123335844,6418.46846243823
min_sst_temp_change_abs_scaled,0.0258827398182405,0.496193849829654,6426.77465019126
seas_sst_temp_change_abs_scaled,0.0485860803513831,0.167244852197766,6425.33108186391
max_sst_temp_change_abs_lag1_scaled,-0.0287407857565365,0.53626359679341,6426.85328558678
max_sst_temp_change_abs_lag2_scaled,-0.0272348483948603,0.440106386733198,6426.63292108654
max_sst_temp_change_abs_lag3_scaled,0.0357524209734702,0.280210518850229,6426.08306683874
max_sst_temp_change_abs_lag4_scaled,0.00901824146245024,0.795347246609227,6427.17982704378
max_sst_temp_change_abs_lag5_scaled,-0.0294262353392379,0.409218385902239,6426.54630586131
max_sst_temp_change_abs_lag6_scaled,-0.0325578451839067,0.367820490956937,6426.40261846682
max_sst_temp_change_abs_lag7_scaled,0.0140301179582759,0.687698818185418,6427.08266737004
max_sst_temp_change_abs_lag8_scaled,0.0963356266866945,0.00296368181233265,6418.66866548
max_sst_temp_change_abs_lag9_scaled,-0.0733046748572739,0.123191411258588,6424.74439306185
min_sst_temp_change_abs_lag1_scaled,-0.0358850652459084,0.344991794094004,6426.33599321734
min_sst_temp_change_abs_lag2_scaled,-0.00631366889876807,0.87242788942289,6427.22316385845
