variable,coef,p_value,AICc
mean_sst_temp_scaled,-0.126069215269743,0.359631461713183,6551.19703953226
max_sst_temp_scaled,-0.294781103355897,0.0862093566714797,6548.00988901392
min_sst_temp_scaled,0.0278719621637208,0.871829324403564,6551.96275549001
seas_sst_temp_scaled,-0.45833112512566,0.000235572481297609,6537.93179809295
max_sst_temp_lag1_scaled,-0.268316460437113,0.0971458984261185,6548.54412963124
max_sst_temp_lag2_scaled,-0.123081242943427,0.350550623093263,6551.11489734997
max_sst_temp_lag3_scaled,-0.153812580613265,0.236228325718832,6550.55650458727
max_sst_temp_lag4_scaled,-0.144453054292951,0.249886539788506,6550.65202407717
max_sst_temp_lag5_scaled,-0.195351666761092,0.126023719591719,6549.52617360489
max_sst_temp_lag6_scaled,-0.185043307593415,0.135920149528266,6549.68400973159
max_sst_temp_lag7_scaled,-0.198488754358887,0.110338522238674,6549.31354821656
max_sst_temp_lag8_scaled,-0.230359953977551,0.06854623455507,6548.3921635752
max_sst_temp_lag9_scaled,-0.242373879311756,0.0565493210527151,6547.99471634947
max_sst_temp_lag10_scaled,-0.20296968747809,0.0829623287361055,6548.85730423217
mean_sst_temp_lag1_scaled,-0.147715981112346,0.281185259387171,6550.88670645964
mean_sst_temp_lag2_scaled,-0.0879712109980189,0.53107986179033,6551.62013071515
mean_sst_temp_lag3_scaled,-0.10143319410037,0.463015584905911,6551.48345010299
mean_sst_temp_lag4_scaled,-0.143839292375054,0.286643140250363,6550.9171214278
mean_sst_temp_lag5_scaled,-0.130828926998109,0.332561172856534,6551.10660978328
mean_sst_temp_lag6_scaled,-0.159277562020876,0.233377008625286,6550.63927483073
mean_sst_temp_lag7_scaled,-0.232991968018846,0.090107652308003,6549.06300078263
mean_sst_temp_lag8_scaled,-0.254889760932503,0.0685940200756052,6548.49224153875
mean_sst_temp_lag9_scaled,-0.2992744995291,0.0428096918167143,6547.26338912767
mean_sst_temp_lag10_scaled,-0.21090763691246,0.113872452393936,6549.51240110719
min_sst_temp_lag1_scaled,-0.179615492528112,0.153510722174826,6550.16653615644
min_sst_temp_lag2_scaled,-0.0620450205107744,0.665101913397624,6551.81592910789
min_sst_temp_lag3_scaled,-0.136873421992694,0.292199902334198,6551.00002739486
min_sst_temp_lag4_scaled,-0.0769133400155686,0.584594271778772,6551.71622358274
min_sst_temp_lag5_scaled,-0.0808577851865791,0.56141424246378,6551.68144811562
min_sst_temp_lag6_scaled,-0.202071707192397,0.102180461083039,6549.58217816853
min_sst_temp_lag7_scaled,-0.338598297047218,0.0125370099207156,6545.14624578912
min_sst_temp_lag8_scaled,-0.216546397479019,0.0806705796078538,6549.18661083786
min_sst_temp_lag9_scaled,-0.380673008152836,0.00876300880954702,6543.50262331325
min_sst_temp_lag10_scaled,-0.235113193901336,0.0589698146660254,6548.67111976436
seas_sst_temp_lag1_scaled,-0.109399487577174,0.331428983482917,6550.97891362876
seas_sst_temp_lag2_scaled,-0.0865956627598868,0.375864346868233,6551.17289842822
seas_sst_temp_lag3_scaled,-0.0489611802646463,0.585823955271535,6551.68659580261
seas_sst_temp_lag4_scaled,-0.0990551695596167,0.267593551434519,6550.71427246502
seas_sst_temp_lag5_scaled,-0.154186695202891,0.0890635704245883,6548.9392422037
seas_sst_temp_lag6_scaled,-0.0278451933928297,0.727075440213221,6551.86705085575
seas_sst_temp_lag7_scaled,0.0544718665930508,0.457599307094475,6551.44637163891
seas_sst_temp_lag8_scaled,-0.0529884564635819,0.474861143458211,6551.47181761528
seas_sst_temp_lag9_scaled,0.0427063456391981,0.551294945337761,6551.63913415652
seas_sst_temp_lag10_scaled,-0.0305300961452128,0.654434272733642,6551.78876668101
mean_sst_temp_change_scaled,0.0195991565658305,0.592577350045531,6551.70367319713
max_sst_temp_change_scaled,-0.0115275228790439,0.755849858837833,6551.89332463381
min_sst_temp_change_scaled,0.0939887765309363,0.00984630512124014,6545.35142564736
seas_sst_temp_change_scaled,-0.0796984537660267,0.0280420661082654,6547.16897816374
max_sst_temp_change_lag1_scaled,-0.0637972930704606,0.0744795409997388,6548.77098516338
max_sst_temp_change_lag2_scaled,0.0217857200935397,0.531757802228626,6551.60040464573
max_sst_temp_change_lag3_scaled,-0.00038808197118455,0.991213727686269,6551.98987346885
max_sst_temp_change_lag4_scaled,0.0316831403390559,0.368451707680248,6551.18449547113
max_sst_temp_change_lag5_scaled,-0.00146262222204982,0.966655022846221,6551.98824576904
max_sst_temp_change_lag6_scaled,0.0101142771260192,0.773256848804261,6551.90708430005
max_sst_temp_change_lag7_scaled,0.020697010687692,0.553734782643699,6551.64014979569
max_sst_temp_change_lag8_scaled,0.00869627651165279,0.803355809105927,6551.92807006882
max_sst_temp_change_lag9_scaled,-0.0105922425786503,0.770703340067203,6551.90466546091
mean_sst_temp_change_lag1_scaled,-0.0524103961078826,0.140183230056569,6549.81035033466
mean_sst_temp_change_lag2_scaled,0.0126500378312818,0.720400414346706,6551.86187398164
mean_sst_temp_change_lag3_scaled,0.040408435576993,0.25807536971455,6550.71181897165
mean_sst_temp_change_lag4_scaled,-0.0115667233222744,0.743876785630872,6551.88320201601
mean_sst_temp_change_lag5_scaled,0.0265281529630987,0.448615311058191,6551.41562052677
mean_sst_temp_change_lag6_scaled,0.0650933172778768,0.0696808394643757,6548.69870123391
mean_sst_temp_change_lag7_scaled,0.0209436081507809,0.559027391137049,6551.64889857141
mean_sst_temp_change_lag8_scaled,0.0375119000027818,0.287126771395065,6550.85728822082
mean_sst_temp_change_lag9_scaled,-0.0691793867928529,0.0641994365955189,6548.49873668209
min_sst_temp_change_lag1_scaled,-0.0584465158988697,0.109577628874694,6549.41276785981
min_sst_temp_change_lag2_scaled,0.0373829387113302,0.307068257396704,6550.94849073965
min_sst_temp_change_lag3_scaled,-0.0309431126981074,0.399100029305092,6551.27800828681
min_sst_temp_change_lag4_scaled,0.00213959041564524,0.953867597987884,6551.98664706211
min_sst_temp_change_lag5_scaled,0.0638027519592668,0.0812232663357364,6548.9475003323
min_sst_temp_change_lag6_scaled,0.0779957210119475,0.0388600922068362,6547.72997444039
min_sst_temp_change_lag7_scaled,-0.0651805800021022,0.0797594393950145,6548.90594069976
min_sst_temp_change_lag8_scaled,0.0855621553142851,0.019239895367488,6546.51810517733
min_sst_temp_change_lag9_scaled,-0.0766824277237462,0.0382302173678788,6547.67613067028
seas_sst_temp_change_lag1_scaled,0.000194671960666266,0.995667355403839,6551.9899643385
seas_sst_temp_change_lag2_scaled,-0.0111795750685565,0.755999658034949,6551.89340135989
seas_sst_temp_change_lag3_scaled,0.0209488169238998,0.556577163988371,6551.64452345506
seas_sst_temp_change_lag4_scaled,0.0214851035587493,0.557879495661616,6551.6466571425
seas_sst_temp_change_lag5_scaled,-0.0474718359327001,0.190398955674148,6550.27030233223
seas_sst_temp_change_lag6_scaled,-0.0450954652973804,0.214993883455111,6550.45148487812
seas_sst_temp_change_lag7_scaled,0.0585705859768743,0.103342246009407,6549.33799818256
seas_sst_temp_change_lag8_scaled,-0.0546009516070492,0.128367497974565,6549.67589438193
seas_sst_temp_change_lag9_scaled,0.0430317327344493,0.234867079930717,6550.58498543272
mean_sst_temp_change_abs_scaled,0.0370574669611817,0.324819643975932,6551.02786384596
max_sst_temp_change_abs_scaled,0.10000200709451,0.00819179990864084,6545.09826695258
min_sst_temp_change_abs_scaled,0.0227545417125172,0.559139462191373,6551.65026732274
seas_sst_temp_change_abs_scaled,0.0510525487996798,0.149728695391774,6549.94361220784
max_sst_temp_change_abs_lag1_scaled,-0.148379154528254,0.000185742111418453,6536.73661464814
max_sst_temp_change_abs_lag2_scaled,-0.0101896108060937,0.772226200847906,6551.90568556089
max_sst_temp_change_abs_lag3_scaled,0.0477641784791387,0.152258524764964,6549.99520347867
max_sst_temp_change_abs_lag4_scaled,-0.0216434819016216,0.545477368580941,6551.62023801706
max_sst_temp_change_abs_lag5_scaled,-0.0126712184478846,0.722464895140575,6551.86291515458
max_sst_temp_change_abs_lag6_scaled,-0.0503962351342699,0.172635680581003,6550.07885229743
max_sst_temp_change_abs_lag7_scaled,0.029236997257904,0.402994712394893,6551.30119972361
max_sst_temp_change_abs_lag8_scaled,0.118490150093559,0.000253610253980824,6539.38138299302
max_sst_temp_change_abs_lag9_scaled,-0.117551204719472,0.00766071987338037,6544.00233205766
mean_sst_temp_change_abs_lag1_scaled,0.0064700207521547,0.859797319778919,6551.95883915181
mean_sst_temp_change_abs_lag2_scaled,-0.000477523591385422,0.989535455498786,6551.98982109128
mean_sst_temp_change_abs_lag3_scaled,0.0424949307607756,0.235809247945809,6550.59608516471
mean_sst_temp_change_abs_lag4_scaled,-0.00905399398380889,0.802873882820719,6551.92756289009
mean_sst_temp_change_abs_lag5_scaled,-0.0918723197590178,0.0151003993535139,6545.93445055002
mean_sst_temp_change_abs_lag6_scaled,-0.0195383456753108,0.5932251905929,6551.70346864483
mean_sst_temp_change_abs_lag7_scaled,-0.0579698101501777,0.117655273389053,6549.50848783414
mean_sst_temp_change_abs_lag8_scaled,-0.0103994723605095,0.77415113638953,6551.9074620242
mean_sst_temp_change_abs_lag9_scaled,-0.094340174738634,0.0236544187706542,6546.50873991211
