variable,coef,p_value,AICc
mean_sst_temp_scaled,-0.162850243806273,0.370715613077897,6426.52382527111
max_sst_temp_scaled,-1.01571974770188,8.42090285162517e-05,6417.1867525767
min_sst_temp_scaled,0.136559960587382,0.440974843152993,6426.78472285847
seas_sst_temp_scaled,-0.518720581441892,1.10441614370824e-06,6406.62026186822
max_sst_temp_lag1_scaled,-0.65492231729186,0.00261411659922555,6420.16596466768
max_sst_temp_lag2_scaled,-0.476357024123699,0.0147851945901948,6422.16192452241
max_sst_temp_lag3_scaled,-0.583739061913682,0.00215178460852073,6419.30803064296
max_sst_temp_lag4_scaled,-0.592099582064061,0.00102742717401853,6417.99849522866
max_sst_temp_lag5_scaled,-0.543799195243859,0.00110170716821549,6417.80763796907
max_sst_temp_lag6_scaled,-0.533594640494197,0.00100596530765235,6417.53990586584
max_sst_temp_lag7_scaled,-0.491684629619801,0.00159273115781967,6418.14060363472
max_sst_temp_lag8_scaled,-0.600687016175002,0.000175410256524183,6414.64163709407
max_sst_temp_lag9_scaled,-0.516946293922802,0.000707956586966166,6416.71480321519
max_sst_temp_lag10_scaled,-0.714246544589383,8.9520311349894e-06,6409.81971527474
mean_sst_temp_lag1_scaled,-0.188800097403264,0.300909320351575,6426.26929199881
mean_sst_temp_lag2_scaled,-0.15079901522646,0.409853590134876,6426.64380157967
mean_sst_temp_lag3_scaled,-0.176618416046925,0.330817317169662,6426.3844318287
mean_sst_temp_lag4_scaled,-0.275952054905626,0.131197922015103,6425.09111546771
mean_sst_temp_lag5_scaled,-0.221015472827528,0.215733240880478,6425.81230049651
mean_sst_temp_lag6_scaled,-0.270002551434652,0.131511304845357,6425.08302628469
mean_sst_temp_lag7_scaled,-0.398806793051863,0.0347230693404484,6423.01259681066
mean_sst_temp_lag8_scaled,-0.499848824033917,0.0124405981154623,6421.48772189248
mean_sst_temp_lag9_scaled,-1.07760641409653,9.46736782130119e-05,6417.20242506572
mean_sst_temp_lag10_scaled,-0.542777038935383,0.00781026460932539,6420.83460239216
min_sst_temp_lag1_scaled,-0.104626498085566,0.522228353242478,6426.8452531247
min_sst_temp_lag2_scaled,0.076469856372494,0.659352664969615,6427.09351646344
min_sst_temp_lag3_scaled,-0.0666319313011775,0.686593042414179,6427.0858108153
min_sst_temp_lag4_scaled,-0.0503357539094555,0.763857888168865,6427.15893606377
min_sst_temp_lag5_scaled,0.00256958413600617,0.987886106695538,6427.24812984562
min_sst_temp_lag6_scaled,-0.119612039048865,0.461054332075669,6426.7116575903
min_sst_temp_lag7_scaled,-0.336971943610577,0.047998692123244,6423.2854234982
min_sst_temp_lag8_scaled,-0.144422939550782,0.374921290783514,6426.46804762155
min_sst_temp_lag9_scaled,-0.457809477548994,0.00993164779105915,6420.60254511251
min_sst_temp_lag10_scaled,-0.198694618155107,0.225731123620534,6425.789648802
seas_sst_temp_lag1_scaled,-0.275367641334814,0.00763351390551848,6421.22718853409
seas_sst_temp_lag2_scaled,-0.367495827681274,0.000363538026924838,6416.32785797387
seas_sst_temp_lag3_scaled,-0.280241046727862,0.00210161472935898,6418.92351071278
seas_sst_temp_lag4_scaled,-0.306593136797677,0.000459399877518831,6416.26853294997
seas_sst_temp_lag5_scaled,-0.349815417542279,5.34926107677218e-05,6412.45881925028
seas_sst_temp_lag6_scaled,-0.275018202585861,0.001190345192011,6417.73163396384
seas_sst_temp_lag7_scaled,-0.1327255426417,0.0846934636357088,6424.62151516228
seas_sst_temp_lag8_scaled,-0.254272407540206,0.000808376006324632,6416.85308600938
seas_sst_temp_lag9_scaled,-0.105328855772008,0.154477340056484,6425.46989010779
seas_sst_temp_lag10_scaled,-0.265931841681031,0.000304191137910179,6415.02839933436
mean_sst_temp_change_scaled,0.0126100635600523,0.72697742411275,6427.12602817307
max_sst_temp_change_scaled,-0.0217004414316985,0.561475903536236,6426.90334767356
min_sst_temp_change_scaled,0.0643101571757039,0.0746042781494807,6424.0202416456
seas_sst_temp_change_scaled,-0.0630748488967121,0.0802900291386193,6424.13377643562
max_sst_temp_change_lag1_scaled,-0.0229461668414861,0.573359519509691,6426.92419133399
max_sst_temp_change_lag2_scaled,0.0355995643625395,0.297009129780429,6426.13873574391
max_sst_temp_change_lag3_scaled,0.0196604956435532,0.567287627120792,6426.91611745141
max_sst_temp_change_lag4_scaled,0.0106087401707895,0.767712581453591,6427.15700331551
max_sst_temp_change_lag5_scaled,0.00713111683714143,0.835201432753102,6427.2032263504
max_sst_temp_change_lag6_scaled,-1.68819346586975e-05,0.999616424507652,6427.24793039816
max_sst_temp_change_lag7_scaled,0.0299926320668218,0.381449866398878,6426.46495851246
max_sst_temp_change_lag8_scaled,-0.012921399539722,0.707710702525257,6427.10482274462
max_sst_temp_change_lag9_scaled,0.0620595006102422,0.116251258249584,6424.75237231951
mean_sst_temp_change_lag1_scaled,-0.0207137742106008,0.567746613340448,6426.91675721289
mean_sst_temp_change_lag2_scaled,0.013902907468242,0.689011019361471,6427.08103071584
mean_sst_temp_change_lag3_scaled,0.050704990850543,0.150344197452286,6425.15495276774
mean_sst_temp_change_lag4_scaled,-0.0244214613621579,0.493797889613666,6426.77797854933
mean_sst_temp_change_lag5_scaled,0.0247007902505514,0.473618157665783,6426.72221637007
mean_sst_temp_change_lag6_scaled,0.0508261681039545,0.155158982935002,6425.19583362421
mean_sst_temp_change_lag7_scaled,0.0298489581282067,0.401908990200914,6426.52735923504
mean_sst_temp_change_lag8_scaled,0.0525287154786307,0.133667683246569,6424.9541339276
mean_sst_temp_change_lag9_scaled,-0.0455107112707522,0.247399101430368,6425.87091972657
min_sst_temp_change_lag1_scaled,-0.0485861093319123,0.176073358270563,6425.37178194576
min_sst_temp_change_lag2_scaled,0.0400740201329965,0.269183245824118,6426.00182181941
min_sst_temp_change_lag3_scaled,-0.0056099747175679,0.878668025383207,6427.22298966855
min_sst_temp_change_lag4_scaled,-0.0159644808128318,0.672176400413315,6427.06708486043
min_sst_temp_change_lag5_scaled,0.0362868162429278,0.318122078181726,6426.2294181063
min_sst_temp_change_lag6_scaled,0.0688744446609273,0.0647754579360284,6423.79166282236
min_sst_temp_change_lag7_scaled,-0.0581304422967606,0.115890650858513,6424.71963091061
min_sst_temp_change_lag8_scaled,0.0877466913978399,0.0154770749738711,6421.28704526996
min_sst_temp_change_lag9_scaled,-0.0698783740482042,0.0530010199013514,6423.40073300345
seas_sst_temp_change_lag1_scaled,0.0283465805781213,0.458729307847207,6426.68800683236
seas_sst_temp_change_lag2_scaled,-0.00280240488882868,0.937750015918179,6427.24191848055
seas_sst_temp_change_lag3_scaled,0.0176617306945314,0.617460091465972,6426.99141769335
seas_sst_temp_change_lag4_scaled,0.0188914593068321,0.612351193394677,6426.98516746876
seas_sst_temp_change_lag5_scaled,-0.0212601203524797,0.554434124033379,6426.89152956478
seas_sst_temp_change_lag6_scaled,-0.0466827876283141,0.19431793309903,6425.53530069736
seas_sst_temp_change_lag7_scaled,0.0598162003971833,0.0911264443755416,6424.33480944361
seas_sst_temp_change_lag8_scaled,-0.0706404346288655,0.0458333997875355,6423.18356612629
seas_sst_temp_change_lag9_scaled,0.0926197915873486,0.0138417146121203,6421.06661398346
mean_sst_temp_change_abs_scaled,0.0278167338769048,0.455428691675666,6426.6823263245
max_sst_temp_change_abs_scaled,0.112266666641139,0.00306524200948711,6418.46846243831
min_sst_temp_change_abs_scaled,0.0258827497899076,0.496193686080555,6426.77465019088
seas_sst_temp_change_abs_scaled,0.0485860807110812,0.167244854708275,6425.33108186466
max_sst_temp_change_abs_lag1_scaled,-0.0287407872908137,0.536263576051649,6426.85328558637
max_sst_temp_change_abs_lag2_scaled,-0.0272348495916467,0.440106371216327,6426.63292108612
max_sst_temp_change_abs_lag3_scaled,0.0357524240376754,0.280210466747356,6426.08306683857
max_sst_temp_change_abs_lag4_scaled,0.00901824431426161,0.795347178912227,6427.17982704252
max_sst_temp_change_abs_lag5_scaled,-0.029426234142237,0.40921840833499,6426.54630586079
max_sst_temp_change_abs_lag6_scaled,-0.0325578476998312,0.367820455225411,6426.40261846678
max_sst_temp_change_abs_lag7_scaled,0.0140301147517312,0.687698886541602,6427.08266737013
max_sst_temp_change_abs_lag8_scaled,0.0963356255508712,0.00296368190868039,6418.66866547991
max_sst_temp_change_abs_lag9_scaled,-0.0733046693859852,0.12319143296066,6424.74439306159
mean_sst_temp_change_abs_lag1_scaled,0.0487134297216415,0.200276660022131,6425.57718528339
mean_sst_temp_change_abs_lag2_scaled,-0.0162731377789322,0.651189971763887,6427.04495143777
mean_sst_temp_change_abs_lag3_scaled,0.0149070466492519,0.681021032023019,6427.07573130898
mean_sst_temp_change_abs_lag4_scaled,0.00854289719942294,0.812833410162513,6427.18849308274
mean_sst_temp_change_abs_lag5_scaled,-0.112454353080128,0.00297343552847239,6418.00828133905
mean_sst_temp_change_abs_lag6_scaled,-0.0250819450734616,0.486648156775223,6426.74895628665
mean_sst_temp_change_abs_lag7_scaled,-0.0632038011904059,0.0886161037399811,6424.2726251474
mean_sst_temp_change_abs_lag8_scaled,0.000556026333968493,0.98748078911973,6427.24745077224
mean_sst_temp_change_abs_lag9_scaled,-0.09568046524574,0.0417792288602536,6422.95980105565
min_sst_temp_change_abs_lag1_scaled,-0.0358850657262668,0.344991785683543,6426.33599321726
min_sst_temp_change_abs_lag2_scaled,-0.00631368194691358,0.872427623888468,6427.2231638585
min_sst_temp_change_abs_lag3_scaled,-0.0508541879139071,0.205016571861872,6425.60265190424
min_sst_temp_change_abs_lag4_scaled,-0.00350555059677416,0.931369886723786,6427.24098380487
min_sst_temp_change_abs_lag5_scaled,-0.0447913065903592,0.26836063994466,6426.00362981841
min_sst_temp_change_abs_lag6_scaled,0.00934755931682821,0.817973901334147,6427.19359779741
min_sst_temp_change_abs_lag7_scaled,-0.0900375838021561,0.0286413064402592,6422.27278409427
min_sst_temp_change_abs_lag8_scaled,-0.0549322814357127,0.176138100220689,6425.37509220003
min_sst_temp_change_abs_lag9_scaled,0.0111306220582387,0.783324075912684,6427.16990553618
seas_sst_temp_change_abs_lag1_scaled,-0.00813627102395609,0.834892263033638,6427.20213573119
seas_sst_temp_change_abs_lag2_scaled,-0.0687961058281984,0.061628980111137,6423.60007523673
seas_sst_temp_change_abs_lag3_scaled,0.0261571599306108,0.451843480592803,6426.67126947349
seas_sst_temp_change_abs_lag4_scaled,0.0147320847584142,0.691874916832503,6427.0883851183
seas_sst_temp_change_abs_lag5_scaled,0.00312807361714044,0.92960781722352,6427.23950975922
seas_sst_temp_change_abs_lag6_scaled,-0.0117196904226303,0.743601395851629,6427.13899972319
seas_sst_temp_change_abs_lag7_scaled,0.0598319106002592,0.0860470666306716,6424.29444414031
seas_sst_temp_change_abs_lag8_scaled,0.042304007915141,0.229565205358644,6425.79153012312
seas_sst_temp_change_abs_lag9_scaled,0.0361869649677132,0.35483880339914,6426.38697153082
mean_sbt_temp_scaled,-0.121092077857551,0.505512816466204,6426.90949425166
max_sbt_temp_scaled,-0.140549721340238,0.428327909387345,6426.76246597234
min_sbt_temp_scaled,-0.0484416463019776,0.784297619967837,6427.19569360621
seas_sbt_temp_scaled,-0.143784318423891,0.270772031554882,6426.21963869844
max_sbt_temp_lag1_scaled,-0.280048366923455,0.112389066395258,6424.97844058381
max_sbt_temp_lag2_scaled,-0.211484174663427,0.229221026970634,6426.01574301655
max_sbt_temp_lag3_scaled,-0.278172842880852,0.112067195693528,6424.97022342741
max_sbt_temp_lag4_scaled,-0.365954270089497,0.0403676092459991,6423.31011809212
max_sbt_temp_lag5_scaled,-0.272864630882569,0.114942834544688,6425.01602459511
max_sbt_temp_lag6_scaled,-0.283551762886961,0.101316513406777,6424.81867397099
max_sbt_temp_lag7_scaled,-0.331050458286762,0.0578088021657884,6423.91668924645
max_sbt_temp_lag8_scaled,-0.419997630053014,0.0203112626417372,6422.13599025379
max_sbt_temp_lag9_scaled,-0.270082292165395,0.116049980831563,6425.03193362391
max_sbt_temp_lag10_scaled,-0.321949816759073,0.0618623039791118,6424.02893732788
mean_sbt_temp_lag1_scaled,-0.299347392360959,0.0976353254133942,6424.72389424295
mean_sbt_temp_lag2_scaled,-0.180672514601784,0.314044561664844,6426.39939977181
mean_sbt_temp_lag3_scaled,-0.260635297380029,0.146045481398132,6425.34837220395
mean_sbt_temp_lag4_scaled,-0.278969806615606,0.119038138258538,6425.04255201298
mean_sbt_temp_lag5_scaled,-0.261867718567336,0.141679667311581,6425.3064716353
mean_sbt_temp_lag6_scaled,-0.291380990541848,0.102065251989264,6424.80062985874
mean_sbt_temp_lag7_scaled,-0.334629827685991,0.0627010749165789,6424.01562865039
mean_sbt_temp_lag8_scaled,-0.348148483334768,0.0532486175632988,6423.73881713732
mean_sbt_temp_lag9_scaled,-0.342858916312555,0.0563971148922194,6423.83693814681
mean_sbt_temp_lag10_scaled,-0.310853401376688,0.0793834740991788,6424.40464350154
min_sbt_temp_lag1_scaled,-0.309702705143069,0.074772858943103,6424.2138377081
min_sbt_temp_lag2_scaled,-0.208058774652057,0.224364538400013,6425.90772582191
min_sbt_temp_lag3_scaled,-0.226207748360495,0.185838166974488,6425.64284594013
min_sbt_temp_lag4_scaled,-0.273847570512186,0.110609431406749,6424.85723633699
min_sbt_temp_lag5_scaled,-0.244309947343834,0.152845742073501,6425.3535000151
min_sbt_temp_lag6_scaled,-0.254576363736711,0.136085720671318,6425.18342828891
min_sbt_temp_lag7_scaled,-0.413486571442,0.0184995140558641,6421.82755751509
