variable,coef,p_value,AICc
max_sst_temp_scaled,-1.21949216543536,9.67164619487847e-05,5292.90983367209
min_sst_temp_scaled,-0.243139276568064,0.186549494176201,5303.33068411521
seas_sst_temp_scaled,-0.255916829922973,0.0310237102362063,5300.6530676128
max_sst_temp_lag1_scaled,-0.901641031144183,0.00168926035019408,5296.55455276572
max_sst_temp_lag2_scaled,-0.762052201632276,0.0050681717425571,5297.91139441684
max_sst_temp_lag3_scaled,-0.810062648861297,0.000703861029715671,5294.61239239802
max_sst_temp_lag4_scaled,-0.4341385233775,0.0310167211307996,5300.32504076111
max_sst_temp_lag5_scaled,-0.702120103475316,0.000385073646741554,5293.10944464684
max_sst_temp_lag6_scaled,-0.552544040902929,0.00313414521140296,5296.44253131179
max_sst_temp_lag7_scaled,-0.654937055850323,0.000411892393315117,5292.95860484032
max_sst_temp_lag8_scaled,-0.621525185419961,0.000611725031140583,5293.55698660883
max_sst_temp_lag9_scaled,-0.560208453608587,0.00137440694387776,5294.87636315468
max_sst_temp_lag10_scaled,-0.388277239365759,0.0218760209764638,5299.64588446176
min_sst_temp_lag1_scaled,-0.135578463799508,0.478019594138018,5304.4221814912
min_sst_temp_lag2_scaled,-0.02639422611177,0.895032005395288,5304.87942817262
min_sst_temp_lag3_scaled,1.03624007338959,0.00043148950284349,5297.56157717564
min_sst_temp_lag4_scaled,0.00629317950071538,0.975351065093687,5304.8981226711
min_sst_temp_lag5_scaled,-0.167666644539903,0.384429763608662,5304.177990277
min_sst_temp_lag6_scaled,-0.117458718857858,0.542079243781861,5304.54990825593
min_sst_temp_lag7_scaled,-0.27583188835091,0.153669533987913,5302.88166811554
min_sst_temp_lag8_scaled,-0.188700750781341,0.306669870421226,5304.64528145774
min_sst_temp_lag9_scaled,-0.227132218136449,0.233853422495973,5303.51564260064
min_sst_temp_lag10_scaled,-0.184664366603552,0.336251394956928,5304.01057025624
seas_sst_temp_lag1_scaled,-0.301789615429113,0.0128801317565721,5299.20687962416
seas_sst_temp_lag2_scaled,-0.376465317169203,0.00239122933960957,5296.36274649409
seas_sst_temp_lag3_scaled,-0.565404123123816,3.27311995722997e-08,5275.77680430256
seas_sst_temp_lag4_scaled,-0.246406591113823,0.0121802981484654,5298.96741806963
seas_sst_temp_lag5_scaled,-0.329645931331782,0.00084280477053103,5294.26629748129
seas_sst_temp_lag6_scaled,-0.277894302090233,0.00342238591921576,5296.7006164684
seas_sst_temp_lag7_scaled,-0.223173171899998,0.00976199035535881,5298.47742661483
seas_sst_temp_lag8_scaled,-0.243174095705744,0.00409342895802767,5296.90075324131
seas_sst_temp_lag9_scaled,-0.204401494148072,0.0125319586073513,5298.84489514639
seas_sst_temp_lag10_scaled,-0.142189317719605,0.0837740987328504,5302.00230732703
max_sst_temp_change_scaled,-0.0272857903959363,0.514732927975385,5304.4637402049
min_sst_temp_change_scaled,-0.0303051279290733,0.439556232179568,5304.2843717918
seas_sst_temp_change_scaled,0.00828314661865894,0.831496080579145,5304.85009907391
max_sst_temp_change_lag1_scaled,-0.0129163163246374,0.776143286988015,5304.81462080684
max_sst_temp_change_lag2_scaled,0.0397113052466867,0.279524495824655,5303.71362026256
max_sst_temp_change_lag3_scaled,-0.0434960058106297,0.25399506344517,5303.55983723692
max_sst_temp_change_lag4_scaled,0.0818585242786878,0.0329724561252623,5300.33141806331
max_sst_temp_change_lag5_scaled,-0.022528888239536,0.542318050615117,5304.51803678353
max_sst_temp_change_lag6_scaled,0.0374980758356318,0.328402279846568,5303.92636920462
max_sst_temp_change_lag7_scaled,-0.00176827200454829,0.962488791902864,5304.89441518269
max_sst_temp_change_lag8_scaled,-0.00691159555613254,0.851268629716303,5304.86086194146
max_sst_temp_change_lag9_scaled,-0.0617695226656715,0.159229142413257,5302.85915104714
min_sst_temp_change_lag1_scaled,-0.0256041913287068,0.505573147222419,5304.4433506124
min_sst_temp_change_lag2_scaled,-0.100536770057922,0.0111632770888004,5298.27566077066
min_sst_temp_change_lag3_scaled,0.0928427963504875,0.0176455651206613,5299.1768796695
min_sst_temp_change_lag4_scaled,0.0439300809174,0.276125372801529,5303.69198018851
min_sst_temp_change_lag5_scaled,-0.0119161367976824,0.757701721990494,5304.79951712333
min_sst_temp_change_lag6_scaled,0.0446950671467052,0.268357923361009,5303.65604755004
min_sst_temp_change_lag7_scaled,-0.0208928135999989,0.595368702744618,5304.60705477895
min_sst_temp_change_lag8_scaled,0.00893389529196978,0.816029133547469,5304.84150419382
min_sst_temp_change_lag9_scaled,-0.011553540247065,0.765017522727436,5304.80516090051
seas_sst_temp_change_lag1_scaled,0.0160146792444503,0.705589886248241,5304.75074583247
seas_sst_temp_change_lag2_scaled,0.0980971291049953,0.00974675447057821,5298.10557264496
seas_sst_temp_change_lag3_scaled,-0.092005994283419,0.0154779910980746,5298.90024205809
seas_sst_temp_change_lag4_scaled,0.0283646134756223,0.483333272916029,5304.39641234991
seas_sst_temp_change_lag5_scaled,-0.00716574149195309,0.850833621941598,5304.86085620098
seas_sst_temp_change_lag6_scaled,-0.00335855494489388,0.9302117877664,5304.88916445326
seas_sst_temp_change_lag7_scaled,0.0131483254992815,0.732962677350314,5304.77685007351
seas_sst_temp_change_lag8_scaled,-0.0111065745769683,0.767261066961229,5304.80751918642
seas_sst_temp_change_lag9_scaled,-0.0301188145755911,0.457798836477158,5304.33498739516
max_sst_temp_change_abs_scaled,-0.0358042431898959,0.43090738052141,5304.2562682771
min_sst_temp_change_abs_scaled,-0.028289616686645,0.498139685935088,5304.42757061241
seas_sst_temp_change_abs_scaled,-0.0465184738009409,0.230937640208235,5303.40655331004
max_sst_temp_change_abs_lag1_scaled,0.128557310784641,0.0118263311063358,5298.56787100312
max_sst_temp_change_abs_lag2_scaled,0.0561957431702245,0.105769403895911,5302.44274666063
max_sst_temp_change_abs_lag3_scaled,-0.0734115918172775,0.0660933274850569,5301.26975426621
max_sst_temp_change_abs_lag4_scaled,-0.0238015964752631,0.541655570493155,5304.50730997384
max_sst_temp_change_abs_lag5_scaled,0.0443902413079471,0.210458161714771,5303.34770750823
max_sst_temp_change_abs_lag6_scaled,0.0486938675708186,0.190869788592627,5303.4403613342
max_sst_temp_change_abs_lag7_scaled,-0.0640578369103309,0.112249505491294,5302.21615449362
max_sst_temp_change_abs_lag8_scaled,0.0113709169555576,0.758767803682617,5304.80242950782
max_sst_temp_change_abs_lag9_scaled,0.0190286672025837,0.690444475044776,5304.73815953338
min_sst_temp_change_abs_lag1_scaled,-0.0332169662393253,0.41334122985112,5304.21150720723
min_sst_temp_change_abs_lag2_scaled,0.000259579030772765,0.995109198867755,5304.89652019771
min_sst_temp_change_abs_lag3_scaled,0.0605474070162152,0.144111308751571,5302.74674360501
min_sst_temp_change_abs_lag4_scaled,0.020661578711741,0.638703024184397,5304.67157263916
min_sst_temp_change_abs_lag5_scaled,-0.030603782831905,0.475540918893581,5304.37938230046
min_sst_temp_change_abs_lag6_scaled,-0.0424284777606974,0.342659574087186,5303.97107966783
min_sst_temp_change_abs_lag7_scaled,0.00795673756202594,0.852680856304469,5304.86144868528
min_sst_temp_change_abs_lag8_scaled,0.00438183856839354,0.917573563661414,5304.88555301676
min_sst_temp_change_abs_lag9_scaled,0.0280209577795311,0.51419802156011,5304.46624603836
seas_sst_temp_change_abs_lag1_scaled,-0.0513458710582357,0.238939873170024,5303.49576689363
seas_sst_temp_change_abs_lag2_scaled,0.0778711501667836,0.0278551575046902,5300.1142724383
seas_sst_temp_change_abs_lag3_scaled,-0.038456421043773,0.312890965265325,5303.84108426944
seas_sst_temp_change_abs_lag4_scaled,0.0146247679190458,0.717067199215179,5304.76536681753
seas_sst_temp_change_abs_lag5_scaled,0.0270884097745917,0.461376108437343,5304.35328542519
seas_sst_temp_change_abs_lag6_scaled,0.0405030025166613,0.267689129572028,5303.667841895
seas_sst_temp_change_abs_lag7_scaled,0.000625321032791686,0.987109029339587,5304.8964016762
seas_sst_temp_change_abs_lag8_scaled,0.0457874990598348,0.213215551218948,5303.34719231492
seas_sst_temp_change_abs_lag9_scaled,0.0272175969008716,0.510259342423845,5304.4651995712
max_sbt_temp_scaled,-0.297013340146521,0.207641218501622,5303.5181721966
min_sbt_temp_scaled,-0.277352989074955,0.183360573150961,5303.15152820584
seas_sbt_temp_scaled,-0.0930569280364755,0.547501167378193,5304.57144757816
max_sbt_temp_lag1_scaled,-0.134970516560067,0.552392818407948,5304.5813564646
max_sbt_temp_lag2_scaled,-0.198465875741831,0.38051642773968,5304.17792832182
max_sbt_temp_lag3_scaled,-0.144196070590117,0.519806989020011,5304.52298381051
max_sbt_temp_lag4_scaled,-0.220236733929315,0.321916319232935,5303.96675345993
max_sbt_temp_lag5_scaled,-0.411238448653092,0.0751981517350225,5301.74475363183
max_sbt_temp_lag6_scaled,-0.527033290005398,0.0314129775423417,5300.33774430473
max_sbt_temp_lag7_scaled,-0.466929783247563,0.0482706877002849,5301.01600086224
max_sbt_temp_lag8_scaled,-0.295864190100738,0.181667800728925,5303.15152543718
max_sbt_temp_lag9_scaled,-0.193035935618191,0.37985580175881,5304.17489646895
max_sbt_temp_lag10_scaled,-0.210134570437852,0.335322848350682,5304.01874437174
min_sbt_temp_lag1_scaled,-0.20166452393789,0.33318784093175,5304.00241280108
min_sbt_temp_lag2_scaled,-0.14139685961916,0.499470238539278,5304.47307806985
min_sbt_temp_lag3_scaled,0.185190808949466,0.440418822215106,5304.50645744968
min_sbt_temp_lag4_scaled,-0.078069965002313,0.714623727380583,5304.77565963478
min_sbt_temp_lag5_scaled,-0.265665858215272,0.201222904550524,5303.29252001925
min_sbt_temp_lag6_scaled,-0.234018483680251,0.242008276841119,5304.33689978736
min_sbt_temp_lag7_scaled,-0.278277470646715,0.172261169924681,5303.05452877046
min_sbt_temp_lag8_scaled,-0.128839401826344,0.518538318471836,5304.50704943259
min_sbt_temp_lag9_scaled,-0.242740619491386,0.220332326346363,5303.423482584
min_sbt_temp_lag10_scaled,-0.0426997194553376,0.834680968359751,5304.85737483037
seas_sbt_temp_lag1_scaled,0.0337304403067408,0.82851282891991,5304.83717602006
seas_sbt_temp_lag2_scaled,-0.109107473081612,0.486162113908198,5304.45308319046
seas_sbt_temp_lag3_scaled,-0.256815917341331,0.0909326767093502,5302.08976829321
seas_sbt_temp_lag4_scaled,-0.182015566792411,0.216426947413425,5303.41841961913
seas_sbt_temp_lag5_scaled,-0.215497079138251,0.135172059863968,5302.70517262529
seas_sbt_temp_lag6_scaled,-0.331747526085513,0.0242281751567073,5299.83676373488
seas_sbt_temp_lag7_scaled,-0.202714013915473,0.123529220610287,5302.55836942219
seas_sbt_temp_lag8_scaled,-0.166613568386208,0.188324799512331,5303.19646352383
seas_sbt_temp_lag9_scaled,0.0131227686625352,0.916127794636564,5304.88186157253
seas_sbt_temp_lag10_scaled,-0.141736949627303,0.248166079048393,5303.75639326089
max_sbt_temp_change_scaled,-0.0550535321806075,0.132970722169929,5302.58200826525
min_sbt_temp_change_scaled,-0.022694148808366,0.575220235574712,5304.57507235396
seas_sbt_temp_change_scaled,-0.0252106737377715,0.494191688707251,5304.42097873811
max_sbt_temp_change_lag1_scaled,0.0223733455615078,0.551964307878655,5304.53800992363
max_sbt_temp_change_lag2_scaled,-0.0167765632461479,0.644341995534365,5304.67960111566
max_sbt_temp_change_lag3_scaled,0.0271919225166174,0.463766923751275,5304.34922053605
max_sbt_temp_change_lag4_scaled,0.0617409647426965,0.0900344305379505,5301.97098463844
max_sbt_temp_change_lag5_scaled,0.0248377031737229,0.487544300258464,5304.40540470441
max_sbt_temp_change_lag6_scaled,-0.0119208673726074,0.752562620552564,5304.79585826424
max_sbt_temp_change_lag7_scaled,-0.0466137632823096,0.197461531679418,5303.19953016646
max_sbt_temp_change_lag8_scaled,-0.034965699777879,0.333281712546751,5303.94078752209
max_sbt_temp_change_lag9_scaled,0.00850258041612911,0.854430963866596,5304.86217776146
min_sbt_temp_change_lag1_scaled,-0.0168283338567552,0.674500966172316,5304.71564025157
min_sbt_temp_change_lag2_scaled,-0.0661952188675933,0.105577848496657,5302.20921523235
min_sbt_temp_change_lag3_scaled,0.0484443669694009,0.223530841039331,5303.39187695002
min_sbt_temp_change_lag4_scaled,0.0533220039269634,0.183489375567646,5303.10496970026
min_sbt_temp_change_lag5_scaled,-0.0068977586514553,0.864911285696555,5304.8670652067
min_sbt_temp_change_lag6_scaled,0.0142613905239388,0.720039884799273,5304.76751397816
min_sbt_temp_change_lag7_scaled,-0.0406488680417252,0.30312372417912,5303.80779734537
min_sbt_temp_change_lag8_scaled,0.0339593103182804,0.384169061484617,5304.12829708366
min_sbt_temp_change_lag9_scaled,-0.0590459780566488,0.135965120551693,5302.6170678593
seas_sbt_temp_change_lag1_scaled,0.0301492334162659,0.438004450818887,5304.28174554917
seas_sbt_temp_change_lag2_scaled,0.0346627998165953,0.369969988933728,5304.07426932409
seas_sbt_temp_change_lag3_scaled,-0.013483047301697,0.718152627269933,5304.76416802982
seas_sbt_temp_change_lag4_scaled,0.00930097405969138,0.805698461435877,5304.83402678044
seas_sbt_temp_change_lag5_scaled,0.0243399010374004,0.527002549502946,5304.48745189845
seas_sbt_temp_change_lag6_scaled,-0.0178934340991926,0.633054664566951,5304.66691434955
seas_sbt_temp_change_lag7_scaled,-0.005976248320516,0.871012452793809,5304.87018647277
seas_sbt_temp_change_lag8_scaled,-0.0481644898783106,0.191338530242721,5303.1632246992
seas_sbt_temp_change_lag9_scaled,0.0507131720594573,0.227873833539071,5303.40783331371
max_sbt_temp_change_abs_scaled,-0.0168604787845895,0.684242559933861,5304.73265219523
min_sbt_temp_change_abs_scaled,-0.131919918952317,0.0165376879662784,5298.90424951012
seas_sbt_temp_change_abs_scaled,-0.0523996806305576,0.232465169149755,5303.44130032515
max_sbt_temp_change_abs_lag1_scaled,-0.0156410244741436,0.711270661369611,5304.76109540205
max_sbt_temp_change_abs_lag2_scaled,-0.0182346040688317,0.65633922418236,5304.69929175253
max_sbt_temp_change_abs_lag3_scaled,-0.0169577067257761,0.680721526140811,5304.72786128238
max_sbt_temp_change_abs_lag4_scaled,-0.0214926493687899,0.602661527704028,5304.62419424095
max_sbt_temp_change_abs_lag5_scaled,-0.0152608135973119,0.704715372496916,5304.75360120047
max_sbt_temp_change_abs_lag6_scaled,-0.117266903369412,0.00631977203341251,5297.12167306627
max_sbt_temp_change_abs_lag7_scaled,-0.0673943122765449,0.101532048388543,5302.1386291171
max_sbt_temp_change_abs_lag8_scaled,-0.09011124525049,0.0307866120699803,5300.06666040709
max_sbt_temp_change_abs_lag9_scaled,0.030341815058918,0.610739056089503,5304.63081035386
min_sbt_temp_change_abs_lag1_scaled,0.0713707279987931,0.17030187831575,5303.01068010862
min_sbt_temp_change_abs_lag2_scaled,-0.0485058938588094,0.358866703504384,5304.03933440227
min_sbt_temp_change_abs_lag3_scaled,0.0284250950749814,0.584902586465215,5304.59461775918
min_sbt_temp_change_abs_lag4_scaled,-0.0235375451216227,0.655750724009516,5304.69582434466
min_sbt_temp_change_abs_lag5_scaled,-0.0698038298523319,0.201781167718141,5303.33151948309
min_sbt_temp_change_abs_lag6_scaled,-0.058373679120239,0.267881042581002,5303.63870074798
min_sbt_temp_change_abs_lag7_scaled,-0.0462887599905768,0.363656621244896,5304.05562999519
min_sbt_temp_change_abs_lag8_scaled,0.01709057262499,0.738341685604816,5304.78210523006
min_sbt_temp_change_abs_lag9_scaled,-0.0175043284951632,0.736794822032116,5304.78284314965
seas_sbt_temp_change_abs_lag1_scaled,-0.0307758348575499,0.507665506661439,5304.4540886344
seas_sbt_temp_change_abs_lag2_scaled,0.0349700117944442,0.431639709839738,5304.26424226741
seas_sbt_temp_change_abs_lag3_scaled,-0.0224941798283611,0.620482583075358,5304.65146516031
seas_sbt_temp_change_abs_lag4_scaled,-0.0551222503398076,0.228523511762652,5303.41088131805
seas_sbt_temp_change_abs_lag5_scaled,-0.0195676152922442,0.665929214868338,5304.70989476012
seas_sbt_temp_change_abs_lag6_scaled,0.0242171293156274,0.582417153431212,5304.58533372251
seas_sbt_temp_change_abs_lag7_scaled,-0.044287404813957,0.330927583680678,5303.93375589142
seas_sbt_temp_change_abs_lag8_scaled,-0.0382404975409466,0.387916185599969,5304.13950181576
seas_sbt_temp_change_abs_lag9_scaled,0.0598713271472793,0.249526274223734,5303.5505540755
