variable,coef,p_value,AICc
mean_sst_temp_scaled,-0.126050593130851,0.489594751764852,5870.81800417951
max_sst_temp_scaled,-0.442151754025591,0.218618509313888,5868.11587518872
min_sst_temp_scaled,-0.132494863204659,0.417185671046252,5870.67871054741
seas_sst_temp_scaled,-0.187445935402233,0.161574439561871,5869.32810363262
max_sst_temp_lag1_scaled,-0.326721457991312,0.230244971990968,5869.04321051337
max_sst_temp_lag2_scaled,0.00616695431309824,0.970007329963503,5871.29978332042
max_sst_temp_lag3_scaled,-0.106353564301188,0.523687212505205,5870.87598518012
max_sst_temp_lag4_scaled,0.00778242798521417,0.959384665892465,5871.29860476731
max_sst_temp_lag5_scaled,-0.189841877738927,0.258543999873199,5869.88510863406
max_sst_temp_lag6_scaled,-0.0975280910273285,0.520485742720165,5870.87586573346
max_sst_temp_lag7_scaled,-0.248831194107556,0.145724125080239,5868.8389473891
max_sst_temp_lag8_scaled,-0.191159110086598,0.22815119232788,5869.70927500232
max_sst_temp_lag9_scaled,-0.169691608779397,0.270585022820236,5869.99668223857
max_sst_temp_lag10_scaled,0.0177759875606449,0.89488191198053,5871.28374766315
mean_sst_temp_lag1_scaled,-0.146774008612168,0.427362021750818,5870.65383307696
mean_sst_temp_lag2_scaled,0.063276089196055,0.742528716886584,5871.18947501177
mean_sst_temp_lag3_scaled,0.131512110932233,0.522755936441993,5870.85081622886
mean_sst_temp_lag4_scaled,0.0121951355094166,0.946620022471537,5871.29669185415
mean_sst_temp_lag5_scaled,-0.147909718197664,0.409016291542283,5870.60458219812
mean_sst_temp_lag6_scaled,-0.126362673878434,0.474484889690557,5870.78536287207
mean_sst_temp_lag7_scaled,-0.216308476819318,0.252347149443609,5869.86502346883
mean_sst_temp_lag8_scaled,-0.146332133934858,0.411897929372995,5870.6136277515
mean_sst_temp_lag9_scaled,-0.131447440110772,0.454741039040453,5870.73648817311
mean_sst_temp_lag10_scaled,-0.0625343029883469,0.715576277499579,5871.16962039318
min_sst_temp_lag1_scaled,-0.146795782614025,0.365425631843466,5870.52426571232
min_sst_temp_lag2_scaled,-0.0498204914652922,0.773322885994248,5871.22082168057
min_sst_temp_lag3_scaled,0.77249206708988,0.0807210578736743,5866.3653582493
min_sst_temp_lag4_scaled,0.102685233954158,0.622746060379493,5871.03420667421
min_sst_temp_lag5_scaled,-0.113609619490063,0.492314067273188,5870.85379427638
min_sst_temp_lag6_scaled,-0.141487574456453,0.380090272330602,5870.57108249384
min_sst_temp_lag7_scaled,-0.303827370157582,0.0756263236574173,5867.94119182883
min_sst_temp_lag8_scaled,-0.199722272800657,0.213439038658566,5869.801557905
min_sst_temp_lag9_scaled,-0.17322428269843,0.282929052105432,5870.19777448201
min_sst_temp_lag10_scaled,-0.134166384739244,0.410801401906862,5870.65591891695
seas_sst_temp_lag1_scaled,-0.11871043716509,0.375482263639867,5870.49918427377
seas_sst_temp_lag2_scaled,0.0462333322287082,0.673665358675354,5871.12640206685
seas_sst_temp_lag3_scaled,-0.313487946261176,0.0025877096720593,5862.371742983
seas_sst_temp_lag4_scaled,-0.0502336046193643,0.61957544725343,5871.05317306542
seas_sst_temp_lag5_scaled,-0.0905685305684263,0.366583633101271,5870.47745205998
seas_sst_temp_lag6_scaled,0.00549369572701241,0.951569341750953,5871.29750931151
seas_sst_temp_lag7_scaled,-0.004583945187025,0.957464909219365,5871.29834869965
seas_sst_temp_lag8_scaled,-0.0267190899121914,0.746107362516415,5871.19605137986
seas_sst_temp_lag9_scaled,-0.0318172094830454,0.700817354440321,5871.15301616515
seas_sst_temp_lag10_scaled,0.0658921871019429,0.378458601567935,5870.52769171464
mean_sst_temp_change_scaled,0.0117395684973408,0.762647657220538,5871.20999501961
max_sst_temp_change_scaled,-0.0172228812213832,0.666286213083484,5871.11526642742
min_sst_temp_change_scaled,0.00569239848968017,0.882399514946068,5871.27932073275
seas_sst_temp_change_scaled,-0.0146233570281263,0.703018143552509,5871.15590953955
max_sst_temp_change_lag1_scaled,-0.0940771508927339,0.0140085084380286,5865.14928342576
max_sst_temp_change_lag2_scaled,0.0463744811016083,0.203442398762068,5869.69752340804
max_sst_temp_change_lag3_scaled,-0.0487254686262071,0.197012590885125,5869.62167680116
max_sst_temp_change_lag4_scaled,0.0843531676866873,0.0224113002775787,5866.15145276402
max_sst_temp_change_lag5_scaled,-0.0352534871092982,0.342763020904284,5870.39606387142
max_sst_temp_change_lag6_scaled,0.0627935656399678,0.0889995721588353,5868.43326482556
max_sst_temp_change_lag7_scaled,-0.0195523939402068,0.599989054468684,5871.02545389237
max_sst_temp_change_lag8_scaled,-0.00771535500911843,0.834546517036229,5871.25751336226
max_sst_temp_change_lag9_scaled,-0.0894215813015599,0.0251884923088587,5866.09781050927
mean_sst_temp_change_lag1_scaled,-0.11573010575284,0.00197834697695275,5861.68582775565
mean_sst_temp_change_lag2_scaled,-0.0334596885514558,0.368501486981315,5870.49217333156
mean_sst_temp_change_lag3_scaled,0.0609139189687692,0.105841342176073,5868.68749970547
mean_sst_temp_change_lag4_scaled,0.0924756566054225,0.012241143567645,5865.03217009669
