variable,coef,p_value,AICc
mean_sst_temp_scaled,-0.163821683918597,0.404822470721746,5842.6306723309
max_sst_temp_scaled,-0.545264077957651,0.13312929087856,5838.77744083024
min_sst_temp_scaled,-0.136149421848659,0.435185002480571,5842.75512064331
seas_sst_temp_scaled,-0.215500088386472,0.0873668907125872,5840.31852750384
max_sst_temp_lag1_scaled,-0.422956612494838,0.143662491806112,5839.91682806417
max_sst_temp_lag2_scaled,-0.0336335237965458,0.847130605910432,5843.29742219813
max_sst_temp_lag3_scaled,-0.1550361784548,0.376119463663899,5842.51321771409
max_sst_temp_lag4_scaled,-0.0263788956277915,0.869807973376889,5843.30780228525
max_sst_temp_lag5_scaled,-0.238212865599225,0.166965920274817,5841.2408474733
max_sst_temp_lag6_scaled,-0.136936674372725,0.384987972339264,5842.55947431562
max_sst_temp_lag7_scaled,-0.295287876710683,0.0863300709583503,5839.99786202571
max_sst_temp_lag8_scaled,-0.234241747877152,0.14759709145529,5841.06970274443
max_sst_temp_lag9_scaled,-0.210778328417459,0.181156721684022,5841.43528485771
max_sst_temp_lag10_scaled,-0.00609034736982853,0.965250082592808,5843.33279254588
mean_sst_temp_lag1_scaled,-0.190373109690701,0.340330686260973,5842.39563120418
mean_sst_temp_lag2_scaled,0.0542172677537899,0.793796294356843,5843.26444273297
mean_sst_temp_lag3_scaled,0.134538644068795,0.545189084530821,5842.93286639633
mean_sst_temp_lag4_scaled,-0.00555571493710834,0.977307258488233,5843.33388245066
mean_sst_temp_lag5_scaled,-0.187789820645432,0.328732466706164,5842.35794706901
mean_sst_temp_lag6_scaled,-0.162315309479948,0.391350486289335,5842.5936664638
mean_sst_temp_lag7_scaled,-0.267954104010949,0.187914812663509,5841.41710109275
mean_sst_temp_lag8_scaled,-0.186012994700445,0.330700451539792,5842.3670111156
mean_sst_temp_lag9_scaled,-0.16822480442717,0.371378187973575,5842.52734965753
mean_sst_temp_lag10_scaled,-0.0893964111124933,0.625217498534325,5843.09908850197
min_sst_temp_lag1_scaled,-0.154454963789964,0.372184985822691,5842.5758590255
min_sst_temp_lag2_scaled,-0.0423940411000473,0.818674563472066,5843.28335549673
min_sst_temp_lag3_scaled,0.842564011782046,0.0436659017063949,5837.4830081396
min_sst_temp_lag4_scaled,0.130190540948752,0.559958421214834,5842.95604616287
min_sst_temp_lag5_scaled,-0.116193810078034,0.511180859728221,5842.92274180706
min_sst_temp_lag6_scaled,-0.147717809822099,0.390273513011985,5842.63153022568
min_sst_temp_lag7_scaled,-0.335535996019653,0.066623084187112,5839.74108666455
min_sst_temp_lag8_scaled,-0.215211993770903,0.208769036565315,5841.79892410209
min_sst_temp_lag9_scaled,-0.186063554786698,0.279598662009238,5842.21229525722
min_sst_temp_lag10_scaled,-0.143117021359722,0.410751787441194,5842.68730774992
seas_sst_temp_lag1_scaled,-0.155687236711778,0.213684414429652,5841.73352995189
seas_sst_temp_lag2_scaled,0.00077090185318457,0.99413598740042,5843.33463590603
seas_sst_temp_lag3_scaled,-0.324241952500529,0.00139316162545325,5833.03001252173
seas_sst_temp_lag4_scaled,-0.0792199184808862,0.411984331026641,5842.65455939277
seas_sst_temp_lag5_scaled,-0.115714964313523,0.228347331958778,5841.86082612869
seas_sst_temp_lag6_scaled,-0.022307795098821,0.79825902613228,5843.26917954459
seas_sst_temp_lag7_scaled,-0.0289046154211546,0.728495938052763,5843.21384555882
seas_sst_temp_lag8_scaled,-0.0480864823680532,0.548549934126712,5842.97316233361
seas_sst_temp_lag9_scaled,-0.0526311829196623,0.512905554683108,5842.90429757447
seas_sst_temp_lag10_scaled,0.0448907292015606,0.539877789062744,5842.95899855302
mean_sst_temp_change_scaled,0.0129001423553261,0.74003192736001,5843.22460184815
max_sst_temp_change_scaled,-0.016732147226984,0.675465235606459,5843.15945623285
min_sst_temp_change_scaled,0.00627523637247405,0.870384884209843,5843.30807672182
seas_sst_temp_change_scaled,-0.0147651286718123,0.700175196920332,5843.18645364367
max_sst_temp_change_lag1_scaled,-0.0942642182299014,0.0138165968903444,5837.157672129
max_sst_temp_change_lag2_scaled,0.0460968724990906,0.206011264862426,5841.74899246395
max_sst_temp_change_lag3_scaled,-0.0482268168748575,0.201587671944968,5841.68917902359
max_sst_temp_change_lag4_scaled,0.0838162471436007,0.0232814867080078,5838.24992800818
max_sst_temp_change_lag5_scaled,-0.0353091879638678,0.341837434419861,5842.42607524541
max_sst_temp_change_lag6_scaled,0.0631226055386328,0.0873701966814456,5840.43717012479
