variable,coef,p_value,conditional_R2,marginal_R2,AICc
max_sst_temp_scaled,-1.16574983696146,0.000104638899130556,0.279332137764564,0.0782671294756687,5602.90087154312
min_sst_temp_scaled,0.176047263941286,0.401971031549555,0.168777732510103,0.00236633898655562,5614.1971056297
seas_sst_temp_scaled,-0.534826336718629,4.12058741645217e-06,0.199392548101971,0.0120002896471089,5595.56839534267
max_sst_temp_lag1_scaled,-0.841718630635433,0.00188404300354202,0.222065413776323,0.0440480329117069,5606.41720651177
max_sst_temp_lag2_scaled,-0.561369555620873,0.02008076127332,0.185648597959756,0.0204563133424724,5609.50558640747
max_sst_temp_lag3_scaled,-0.436645716419541,0.0289324859022592,0.169347298428968,0.0126703016127623,5610.00177412688
max_sst_temp_lag4_scaled,-0.632011751572732,0.00179663160599906,0.191438267614348,0.0258006953564762,5605.43855505429
max_sst_temp_lag5_scaled,-0.561399520697486,0.0025880850506235,0.185128321137776,0.0208239512029191,5605.90421806007
max_sst_temp_lag6_scaled,-0.485780443739913,0.00626841249245934,0.175916762084699,0.0157452980661148,5607.26965533389
max_sst_temp_lag7_scaled,-0.320941493821738,0.0571136858070249,0.165649232015792,0.00691895979451373,5611.08606842662
max_sst_temp_lag8_scaled,-0.513311641163228,0.00270924767671576,0.176460755389741,0.017585493153342,5605.7581944593
max_sst_temp_lag9_scaled,-0.433464373221568,0.00810946539520792,0.170206494945083,0.0127064970076648,5607.66547499442
max_sst_temp_lag10_scaled,-0.528989733553154,0.00147946515623398,0.180658603375173,0.0186536223905652,5604.68088158545
min_sst_temp_lag1_scaled,-0.172834419572672,0.321784384242,0.152529400072557,0.0023202895418276,5613.64688877237
min_sst_temp_lag2_scaled,-0.094415092387626,0.601984153521522,0.152268051680439,0.000690707623150186,5614.27130632125
min_sst_temp_lag3_scaled,-0.155809293055327,0.379681234488416,0.153554575535869,0.00188503054220754,5614.01179467085
min_sst_temp_lag4_scaled,-0.0596103964600144,0.74799696292026,0.15487271142316,0.000274001098795613,5614.42953559994
min_sst_temp_lag5_scaled,-0.0167846733182896,0.929819208366218,0.15799762711279,2.1837441007874e-05,5614.59252695554
min_sst_temp_lag6_scaled,-0.180444244073567,0.31289195819051,0.154917350428203,0.0025370263877673,5613.60100711194
min_sst_temp_lag7_scaled,-0.396253479334731,0.0401727707337797,0.165266295427394,0.0120443973625296,5610.24986437237
