variable,coef,p_value,conditional_R2,marginal_R2,AICc
max_sst_temp_scaled,-1.01571974770188,8.42090285162517e-05,0.271600643448126,0.0705404539696384,6417.1867525767
min_sst_temp_scaled,0.136559960587382,0.440974843152993,0.16403768318999,0.00147543621092991,6426.78472285847
seas_sst_temp_scaled,-0.518720581441892,1.10441614370824e-06,0.208601537873904,0.0199929979578512,6406.62026186822
max_sst_temp_lag1_scaled,-0.65492231729186,0.00261411659922555,0.206358848645864,0.0318401780807112,6420.16596466768
max_sst_temp_lag2_scaled,-0.476357024123699,0.0147851945901948,0.18275623946132,0.0173224687023785,6422.16192452241
max_sst_temp_lag3_scaled,-0.583739061913682,0.00215178460852073,0.196042252771103,0.0255615608765309,6419.30803064296
max_sst_temp_lag4_scaled,-0.592099582064061,0.00102742717401853,0.196934335377086,0.0263280150639868,6417.99849522866
max_sst_temp_lag5_scaled,-0.543799195243859,0.00110170716821549,0.190481490701106,0.022438845218009,6417.80763796907
max_sst_temp_lag6_scaled,-0.533594640494197,0.00100596530765235,0.189074146559368,0.0216558180423234,6417.53990586584
max_sst_temp_lag7_scaled,-0.491684629619801,0.00159273115781967,0.183780693341553,0.0184784893300324,6418.14060363472
max_sst_temp_lag8_scaled,-0.600687016175002,0.000175410256524183,0.197556449886334,0.0271225163919744,6414.64163709407
max_sst_temp_lag9_scaled,-0.516946293922802,0.000707956586966166,0.186619027844593,0.0204539590468292,6416.71480321519
max_sst_temp_lag10_scaled,-0.714246544589383,8.9520311349894e-06,0.214846613283334,0.037802009052833,6409.81971527474
min_sst_temp_lag1_scaled,-0.104626498085566,0.522228353242478,0.157081187150782,0.000869174430860398,6426.8452531247
min_sst_temp_lag2_scaled,0.076469856372494,0.659352664969615,0.160850058913747,0.00046253167713574,6427.09351646344
min_sst_temp_lag3_scaled,-0.0666319313011775,0.686593042414179,0.157150980838611,0.000353312440436101,6427.0858108153
min_sst_temp_lag4_scaled,-0.0503357539094555,0.763857888168865,0.157262590928559,0.000200062123654984,6427.15893606377
min_sst_temp_lag5_scaled,0.00256958413600617,0.987886106695538,0.158259732237708,5.27015268057016e-07,6427.24812984562
min_sst_temp_lag6_scaled,-0.119612039048865,0.461054332075669,0.157164943444818,0.00114341961012466,6426.7116575903
