"","variable","coef","p_value","AICc","deltaAICc","rel_likelihood","akaike_weight"
"1","max_sst_temp_scaled",-1.01571974770188,8.42090285162517e-05,6417.1867525767,10.5664907084829,0.00507593083940545,0.00365327094672081
"2","min_sst_temp_scaled",0.136559960587382,0.440974843152993,6426.78472285847,20.1644609902551,4.18160427119765e-05,3.00960235235186e-05
"3","seas_sst_temp_scaled",-0.518720581441892,1.10441614370824e-06,6406.62026186822,0,1,0.719724334768265
"4","max_sst_temp_lag1_scaled",-0.65492231729186,0.00261411659922555,6420.16596466768,13.5457027994589,0.00114442677590739,0.000823671799980939
"5","max_sst_temp_lag2_scaled",-0.476357024123699,0.0147851945901948,6422.16192452241,15.5416626541955,0.00042186241533571,0.000303624646241227
"6","max_sst_temp_lag3_scaled",-0.583739061913682,0.00215178460852073,6419.30803064296,12.6877687747456,0.00175746229659291,0.00126488838229564
"7","max_sst_temp_lag4_scaled",-0.592099582064061,0.00102742717401853,6417.99849522866,11.3782333604404,0.00338257954955273,0.00243452481610258
"8","max_sst_temp_lag5_scaled",-0.543799195243859,0.00110170716821549,6417.80763796907,11.1873761008555,0.00372127826376958,0.00267829452287917
"9","max_sst_temp_lag6_scaled",-0.533594640494197,0.00100596530765235,6417.53990586584,10.9196439976176,0.00425431295019418,0.00306193255797452
"10","max_sst_temp_lag7_scaled",-0.491684629619801,0.00159273115781967,6418.14060363472,11.5203417664989,0.0031505731722605,0.00226754418054393
"11","max_sst_temp_lag8_scaled",-0.600687016175002,0.000175410256524183,6414.64163709407,8.02137522584781,0.0181209307657388,0.0130420748407532
"12","max_sst_temp_lag9_scaled",-0.516946293922801,0.000707956586966166,6416.71480321519,10.0945413469717,0.00642685050398026,0.00462556070363228
"13","max_sst_temp_lag10_scaled",-0.714246544589383,8.9520311349894e-06,6409.81971527474,3.19945340652157,0.201951703195306,0.14534955523756
"14","min_sst_temp_lag1_scaled",-0.104626498085566,0.522228353242478,6426.8452531247,20.2249912564857,4.05694341539948e-05,2.91988090084088e-05
"15","min_sst_temp_lag2_scaled",0.0764698563724939,0.659352664969615,6427.09351646344,20.4732545952193,3.58335018025348e-05,2.57902432472468e-05
"16","min_sst_temp_lag3_scaled",-0.0666319313011774,0.686593042414179,6427.08581081529,20.4655489470761,3.59718282835345e-05,2.58898001817651e-05
"17","min_sst_temp_lag4_scaled",-0.0503357539094555,0.763857888168865,6427.15893606377,20.5386741955472,3.46803574929356e-05,2.49602972261287e-05
"18","min_sst_temp_lag5_scaled",0.00256958413600617,0.987886106695538,6427.24812984562,20.6278679773977,3.31677019394949e-05,2.38716022141951e-05
"19","min_sst_temp_lag6_scaled",-0.119612039048865,0.461054332075668,6426.7116575903,20.0913957220837,4.33719403770945e-05,3.12158409355132e-05
"20","min_sst_temp_lag7_scaled",-0.336971943610577,0.047998692123244,6423.2854234982,16.6651616299841,0.000240550426934951,0.00017312999600398
"21","min_sst_temp_lag8_scaled",-0.144422939550782,0.374921290783514,6426.46804762155,19.8477857533308,4.89900727819698e-05,3.52593475432521e-05
