variable,coef,p_value,conditional_R2,marginal_R2,AICc
max_sst_temp_scaled,-1.21949216543536,9.67164619487847e-05,0.251346747213349,0.0717496260808752,5292.90983367209
min_sst_temp_scaled,-0.243139276568064,0.186549494176201,0.130144392666151,0.00380895648803734,5303.33068411521
seas_sst_temp_scaled,-0.255916829922973,0.0310237102362063,0.149284090119488,0.00235437779478874,5300.6530676128
max_sst_temp_lag1_scaled,-0.901641031144183,0.00168926035019408,0.201147662397144,0.0418534030849161,5296.55455276572
max_sst_temp_lag2_scaled,-0.762052201632276,0.0050681717425571,0.182317033591758,0.030522462946611,5297.91139441684
max_sst_temp_lag3_scaled,-0.810062648861297,0.000703861029715671,0.188605587847706,0.0343499148461927,5294.61239239802
max_sst_temp_lag4_scaled,-0.4341385233775,0.0310167211307996,0.14983317167131,0.010322291018445,5300.32504076111
max_sst_temp_lag5_scaled,-0.702120103475316,0.000385073646741554,0.175838730011647,0.0265651473889136,5293.10944464684
max_sst_temp_lag6_scaled,-0.552544040902929,0.00313414521140296,0.159773077232932,0.0167485616772703,5296.44253131179
max_sst_temp_lag7_scaled,-0.654937055850323,0.000411892393315117,0.16982607027085,0.0231183049514968,5292.95860484032
max_sst_temp_lag8_scaled,-0.621525185419961,0.000611725031140583,0.166313103338372,0.0210463039220061,5293.55698660883
max_sst_temp_lag9_scaled,-0.560208453608587,0.00137440694387776,0.160312254159067,0.0173186284701344,5294.87636315468
max_sst_temp_lag10_scaled,-0.388277239365759,0.0218760209764638,0.146615128737182,0.00844072935711061,5299.64588446176
min_sst_temp_lag1_scaled,-0.135578463799508,0.478019594138018,0.135201177081825,0.00117490012884552,5304.4221814912
min_sst_temp_lag2_scaled,-0.02639422611177,0.895032005395288,0.136273288909115,4.43500836481711e-05,5304.87942817262
min_sst_temp_lag3_scaled,1.03624007338959,0.00043148950284349,0.27043261523941,0.0579517114143409,5297.56157717564
min_sst_temp_lag4_scaled,0.00629317950071538,0.975351065093687,0.137159409059746,2.51422614652308e-06,5304.8981226711
min_sst_temp_lag5_scaled,-0.167666644539903,0.384429763608662,0.135472899170415,0.00180418876793263,5304.177990277
min_sst_temp_lag6_scaled,-0.117458718857858,0.542079243781861,0.135171908931875,0.000887130300337913,5304.54990825593
min_sst_temp_lag7_scaled,-0.27583188835091,0.153669533987913,0.138267688874113,0.00485847132922613,5302.88166811554
min_sst_temp_lag8_scaled,-0.188700750781341,0.306669870421226,0.130641245434857,0.00227673455480183,5304.64528145774
min_sst_temp_lag9_scaled,-0.227132218136449,0.233853422495973,0.136736906175522,0.00327076352163554,5303.51564260064
min_sst_temp_lag10_scaled,-0.184664366603552,0.336251394956928,0.135854415832578,0.00215692528811359,5304.01057025624
seas_sst_temp_lag1_scaled,-0.301789615429113,0.0128801317565721,0.151904392005577,0.00319988169844601,5299.20687962416
seas_sst_temp_lag2_scaled,-0.376465317169203,0.00239122933960957,0.156860577611368,0.00495707496836267,5296.36274649409
seas_sst_temp_lag3_scaled,-0.565404123123816,3.27311995722997e-08,0.171396782642969,0.010997652281482,5275.77680430256
seas_sst_temp_lag4_scaled,-0.246406591113823,0.0121802981484654,0.14796370823857,0.00213044333629025,5298.96741806963
seas_sst_temp_lag5_scaled,-0.329645931331782,0.00084280477053103,0.15293229853487,0.00370060517010081,5294.26629748129
seas_sst_temp_lag6_scaled,-0.277894302090233,0.00342238591921576,0.149496592529496,0.00266308962377122,5296.7006164684
seas_sst_temp_lag7_scaled,-0.223173171899998,0.00976199035535881,0.146074484619433,0.00172134574037636,5298.47742661483
seas_sst_temp_lag8_scaled,-0.243174095705744,0.00409342895802767,0.146810728985001,0.00204366286218262,5296.90075324131
seas_sst_temp_lag9_scaled,-0.204401494148072,0.0125319586073513,0.144883794684995,0.00147613743420424,5298.84489514639
seas_sst_temp_lag10_scaled,-0.142189317719605,0.0837740987328504,0.141882994396658,0.000693248598378081,5302.00230732703
max_sst_temp_change_scaled,-0.0272857903959363,0.514732927975385,0.137123348310357,3.86786109443166e-05,5304.4637402049
min_sst_temp_change_scaled,-0.0303051279290733,0.439556232179568,0.137056108127282,5.49046991569228e-05,5304.2843717918
seas_sst_temp_change_scaled,0.00828314661865894,0.831496080579145,0.137049819043213,4.07994078529759e-06,5304.85009907391
max_sst_temp_change_lag1_scaled,-0.0129163163246374,0.776143286988015,0.137086025556156,7.54807700756038e-06,5304.81462080684
max_sst_temp_change_lag2_scaled,0.0397113052466867,0.279524495824655,0.137047673394921,9.64983532685898e-05,5303.71362026256
