"","variable","coef","p_value","AICc","deltaAICc","rel_likelihood","akaike_weight"
"1","max_sst_temp_scaled",-1.2098789361439,4.31416127503644e-05,5776.07164473581,17.2401128584061,0.000180450071760007,0.000180021598462314
"2","min_sst_temp_scaled",-0.19250627750279,0.277197611157111,5784.42733272632,25.5958008489069,2.76657511192283e-06,2.76000596207457e-06
"3","seas_sst_temp_scaled",-0.244723807498939,0.0247756908758438,5781.90626052997,23.074728652563,9.75857349733368e-06,9.735402056467e-06
"4","max_sst_temp_lag1_scaled",-0.761149491149558,0.0027550782304959,5779.81728033551,20.9857484580971,2.7733368547941e-05,2.76675164938966e-05
"5","max_sst_temp_lag2_scaled",-0.27180861998677,0.149797083424663,5784.22940534923,25.3978734718175,3.05437143558683e-06,3.04711892197673e-06
"6","max_sst_temp_lag3_scaled",-0.613047959920814,0.00383090839746668,5779.29814622393,20.4666143465229,3.5952671203496e-05,3.58673026611554e-05
"7","max_sst_temp_lag4_scaled",-0.361293945374514,0.0475391609575577,5782.3684078654,23.5368759879957,7.74519432524366e-06,7.72680359299602e-06
"8","max_sst_temp_lag5_scaled",-0.593549064553395,0.0012904392500816,5777.19171823569,18.360186358278,0.000103070928641853,0.000102826189804895
"9","max_sst_temp_lag6_scaled",-0.442925648230874,0.0101444863878972,5779.99265269664,21.1611208192317,2.54051052608245e-05,2.53447815983113e-05
"10","max_sst_temp_lag7_scaled",-0.607185438573478,0.000532384308420212,5775.60486773679,16.7733358593832,0.000227885344682823,0.00022734423774848
"11","max_sst_temp_lag8_scaled",-0.553182693097803,0.00121971328586262,5776.71303819559,17.8815063181819,0.000130942382587635,0.000130631463816987
"12","max_sst_temp_lag9_scaled",-0.429146535100873,0.00802705187157013,5779.46455364509,20.6330217676805,3.30823422781998e-05,3.30037892460338e-05
"13","max_sst_temp_lag10_scaled",-0.348020354802435,0.02733512860809,5781.3266787518,22.4951468743911,1.30388990045657e-05,1.30079385289046e-05
"14","min_sst_temp_lag1_scaled",-0.113522099825834,0.523884623070586,5785.20570852386,26.3741766464564,1.87465048629323e-06,1.87019918478889e-06
"15","min_sst_temp_lag2_scaled",-0.0164002513275348,0.92871814262811,5785.58484740241,26.7533155250048,1.55092696709535e-06,1.54724433740399e-06
"16","min_sst_temp_lag3_scaled",0.839002196555577,0.001034301375735,5779.03335260294,20.2018207255314,4.10421749451806e-05,4.09447215284448e-05
