variable,coef,p_value,conditional_R2,marginal_R2,AICc
max_sst_temp_scaled,-1.2098789361439,4.31416127503644e-05,0.248611590090075,0.0681099442978263,5776.07164473582
min_sst_temp_scaled,-0.19250627750279,0.277197611157111,0.123897860514618,0.00202708892936369,5784.42733272632
seas_sst_temp_scaled,-0.244723807498939,0.0247756908758438,0.138913706354111,0.00319415638391855,5781.90626052997
max_sst_temp_lag1_scaled,-0.761149491149558,0.0027550782304959,0.177200514640546,0.0294135173174861,5779.81728033551
max_sst_temp_lag2_scaled,-0.27180861998677,0.149797083424663,0.124229911825063,0.0039870426462722,5784.22940534923
max_sst_temp_lag3_scaled,-0.613047959920814,0.00383090839746668,0.158920412699575,0.0194573605556903,5779.29814622393
max_sst_temp_lag4_scaled,-0.361293945374514,0.0475391609575577,0.135833023560011,0.00695885650635118,5782.36840786541
max_sst_temp_lag5_scaled,-0.593549064553395,0.0012904392500816,0.156760529075336,0.0183697003707106,5777.19171823569
max_sst_temp_lag6_scaled,-0.442925648230874,0.0101444863878972,0.141959950972655,0.0104155220968896,5779.99265269664
max_sst_temp_lag7_scaled,-0.607185438573478,0.000532384308420212,0.158172767735719,0.019173142467879,5775.60486773679
max_sst_temp_lag8_scaled,-0.553182693097803,0.00121971328586262,0.15209299583775,0.016034140642295,5776.71303819559
max_sst_temp_lag9_scaled,-0.429146535100873,0.00802705187157013,0.140653387833575,0.00982456676707865,5779.46455364509
max_sst_temp_lag10_scaled,-0.348020354802435,0.02733512860809,0.134786848591123,0.00652435791460637,5781.3266787518
min_sst_temp_lag1_scaled,-0.113522099825834,0.523884623070586,0.12291296440261,0.00070239698118124,5785.20570852387
min_sst_temp_lag2_scaled,-0.0164002513275348,0.92871814262811,0.12351060263268,1.46592021925306e-05,5785.58484740241
min_sst_temp_lag3_scaled,0.839002196555577,0.001034301375735,0.196251250384645,0.0352396952776878,5779.03335260294
min_sst_temp_lag4_scaled,0.0282398576293933,0.880516013065761,0.124393844641985,4.31613038150611e-05,5785.5757993101
min_sst_temp_lag5_scaled,-0.125042898712791,0.486076322421928,0.123000500017306,0.000857784347855452,5785.12739358121
min_sst_temp_lag6_scaled,-0.0590841687950945,0.741060554771037,0.118639928369556,0.000192464300871317,5785.58377042846
min_sst_temp_lag7_scaled,-0.257958236709055,0.155514675403457,0.125827404724464,0.00361814629544725,5783.58338303276
min_sst_temp_lag8_scaled,-0.140248916943448,0.430854563953207,0.123170191112281,0.00106832754241357,5784.99634364777
min_sst_temp_lag9_scaled,-0.130358914725747,0.466340643666485,0.123061892726146,0.000918365467484585,5785.08769275128
min_sst_temp_lag10_scaled,-0.096459895226049,0.593657494542555,0.122981870058805,0.000501939894847782,5785.32772170679
seas_sst_temp_lag1_scaled,-0.264310767836585,0.016927110018476,0.140446217575397,0.00367850850151369,5781.3677095345
seas_sst_temp_lag2_scaled,-0.22494185713807,0.0396154357723165,0.137057122289179,0.0027417844670877,5782.55512004615
seas_sst_temp_lag3_scaled,-0.545194554468876,2.58943425724626e-08,0.173276725228306,0.015279504441917,5758.83153187741
seas_sst_temp_lag4_scaled,-0.237600032639932,0.00993159103738233,0.137997751449692,0.00299411325577411,5780.21987055221
seas_sst_temp_lag5_scaled,-0.285523820125783,0.00185611039687334,0.142261635377103,0.00430234613061119,5777.53514211263
seas_sst_temp_lag6_scaled,-0.252379691564011,0.00481109245843231,0.138955302337821,0.00333820964437377,5778.9650950031
seas_sst_temp_lag7_scaled,-0.19881745881185,0.0146070001394729,0.13447145023221,0.00206745736334922,5780.57466459544
seas_sst_temp_lag8_scaled,-0.227826272732617,0.00435623918826991,0.136603190867636,0.00275955403789166,5778.57079979214
seas_sst_temp_lag9_scaled,-0.185314508052081,0.0173213755214227,0.133329150810133,0.00182573617185786,5780.7505988513
seas_sst_temp_lag10_scaled,-0.158106454004155,0.0410653275296617,0.131131273152708,0.00126731094681704,5782.04777564037
max_sst_temp_change_scaled,-0.0271804096444398,0.496969336122051,0.123937121096792,3.91683888646275e-05,5785.11898925959
min_sst_temp_change_scaled,-0.0241261497729176,0.526217001201635,0.123814789259247,3.22809004666148e-05,5785.17676506064
seas_sst_temp_change_scaled,0.00309180511291842,0.935111563737328,0.123797628209444,5.21994984816273e-07,5785.58496226702
max_sst_temp_change_lag1_scaled,-0.0574788107953854,0.188016168891164,0.123963631343486,0.000144455463959208,5783.82712793517
max_sst_temp_change_lag2_scaled,0.0576713430386286,0.106909389595863,0.12381961070002,0.000186779578764576,5782.95772252359
max_sst_temp_change_lag3_scaled,-0.0283448206165897,0.441936418993958,0.12392942306679,4.51592369370151e-05,5784.9805538983
max_sst_temp_change_lag4_scaled,0.0675058073873914,0.0714242790803456,0.12388102412754,0.000241369112955438,5782.29389991272
max_sst_temp_change_lag5_scaled,-0.0236005606414672,0.515878341602348,0.121243876659292,3.16156301919882e-05,5785.57126653648
max_sst_temp_change_lag6_scaled,0.0493628526024054,0.181905689696014,0.123919295899395,0.000132063453229135,5783.79570995335
max_sst_temp_change_lag7_scaled,-0.00774592439141739,0.832445666325679,0.123833102077956,3.36534485001951e-06,5785.54799333644
max_sst_temp_change_lag8_scaled,-0.0254573844818315,0.484180101705842,0.123883519174681,3.64076989470438e-05,5785.09200682415
max_sst_temp_change_lag9_scaled,-0.027750788206904,0.513775090266258,0.123825816024037,3.2392428342533e-05,5785.15279606115
min_sst_temp_change_lag1_scaled,-0.0256526924726314,0.493415461652409,0.123821948242625,3.67188832003233e-05,5785.11523266105
min_sst_temp_change_lag2_scaled,-0.108873636111858,0.00466738044713068,0.124738950689154,0.000652873944551262,5777.36743377914
min_sst_temp_change_lag3_scaled,0.0979518603844707,0.0104409371162128,0.124535913634711,0.000517781960994709,5778.95263427715
min_sst_temp_change_lag4_scaled,0.0433843319770054,0.269327441358644,0.123978108755192,9.88374831040848e-05,5784.34021414228
min_sst_temp_change_lag5_scaled,-0.0162563824305365,0.667232256211076,0.123856640136763,1.45574159891056e-05,5785.4040245714
min_sst_temp_change_lag6_scaled,0.0589049438173414,0.132406652764315,0.124261973977888,0.000194458875839844,5783.31251991739
min_sst_temp_change_lag7_scaled,-0.0333488432990228,0.385807573497466,0.123807230975279,6.11196727990673e-05,5784.82906212343
min_sst_temp_change_lag8_scaled,-0.0032502939459361,0.931416797496043,0.123809509243767,5.85522770977071e-07,5785.58403764204
min_sst_temp_change_lag9_scaled,-0.00956074829386428,0.799326147960231,0.123796936187225,5.1965441217247e-06,5785.52335715485
seas_sst_temp_change_lag1_scaled,-0.00956098819914166,0.813970354687886,0.123818299270129,4.54246546245261e-06,5785.53475627864
seas_sst_temp_change_lag2_scaled,0.119047331592689,0.00141816756849097,0.124564514564383,0.000771657469873382,5775.22369883437
seas_sst_temp_change_lag3_scaled,-0.086074208853876,0.0206994332099187,0.124488038358837,0.000405133680824816,5780.12638813357
seas_sst_temp_change_lag4_scaled,0.0181651038060197,0.643612737087714,0.123773832219361,1.72229461036926e-05,5785.37315717271
seas_sst_temp_change_lag5_scaled,-0.00469871820738215,0.900210787150352,0.123805479020537,1.22096472556357e-06,5785.57606664426
seas_sst_temp_change_lag6_scaled,-0.00424630207730187,0.909938709564534,0.128783592930819,9.97365267616751e-07,5787.6119733905
seas_sst_temp_change_lag7_scaled,0.0171381228960879,0.645818398354267,0.119589004562603,1.65220661930629e-05,5785.64166012272
seas_sst_temp_change_lag8_scaled,-0.0153461388263836,0.677298529501854,0.123827613934226,1.32044513290468e-05,5785.41726475398
seas_sst_temp_change_lag9_scaled,-0.0103202743050982,0.794188149725251,0.120776586269163,5.30107977412083e-06,5785.71555026541
max_sst_temp_change_abs_scaled,-0.0667360726366392,0.120612656294035,0.124053055269746,0.000231797294326551,5783.08368970897
min_sst_temp_change_abs_scaled,-0.0420268793113623,0.303407873291749,0.123854906506822,0.000100291069855421,5784.51461143908
seas_sst_temp_change_abs_scaled,-0.0519245290400056,0.175661080903915,0.123762611596754,0.000148007200576344,5783.69340102467
max_sst_temp_change_abs_lag1_scaled,0.159950786120166,0.000910840131976386,0.125191954219696,0.000966418661139976,5774.62816933011
max_sst_temp_change_abs_lag2_scaled,0.0467888999410633,0.174665778298449,0.123890295923851,0.000122474231526153,5783.75498893456
max_sst_temp_change_abs_lag3_scaled,-0.0508969759478468,0.179015510125861,0.124074819780485,0.000146595112874886,5783.68824599339
max_sst_temp_change_abs_lag4_scaled,-0.00320661968962024,0.93118725092133,0.123808377818054,5.51621779821974e-07,5785.5842443118
max_sst_temp_change_abs_lag5_scaled,0.0525603712401249,0.129804149564369,0.123892070130975,0.000155594532153446,5783.30497723507
max_sst_temp_change_abs_lag6_scaled,0.0547865095502981,0.125097781278189,0.123906169571546,0.000166915542295256,5783.2724922263
max_sst_temp_change_abs_lag7_scaled,-0.0569510628086722,0.145989239633515,0.124231289242712,0.000180356571493257,5783.37166649821
max_sst_temp_change_abs_lag8_scaled,0.0280854832644921,0.434907764282886,0.123787124223597,4.43304040885902e-05,5784.97167096139
max_sst_temp_change_abs_lag9_scaled,0.0391429921495171,0.398507912519066,0.123829781204705,5.10186592623419e-05,5784.87789313887
min_sst_temp_change_abs_lag1_scaled,-0.0390921987846975,0.325772769732276,0.121438946676929,8.50436109916882e-05,5784.79333719748
min_sst_temp_change_abs_lag2_scaled,-0.014903251269798,0.718405939155141,0.123818204652562,1.23043305889502e-05,5785.46550103962
min_sst_temp_change_abs_lag3_scaled,0.0648234105341364,0.109137667742624,0.12420318711135,0.000228127186790705,5782.98662904964
min_sst_temp_change_abs_lag4_scaled,0.0210442826474138,0.620257698935846,0.123902831060203,2.30631845169492e-05,5785.33553722593
min_sst_temp_change_abs_lag5_scaled,-0.0186882276648968,0.654305297900057,0.119125610416496,1.93105286141824e-05,5785.7840334185
min_sst_temp_change_abs_lag6_scaled,-0.0315275304229072,0.465918767903499,0.123750491964901,5.55508429286636e-05,5785.05288045488
min_sst_temp_change_abs_lag7_scaled,0.014138560139927,0.73308126291145,0.123848433317634,1.11790709194731e-05,5785.46779534847
min_sst_temp_change_abs_lag8_scaled,0.0176443085646323,0.668286313806949,0.123876290952847,1.73466909790873e-05,5785.39485129533
min_sst_temp_change_abs_lag9_scaled,0.0265690310544931,0.526840885729024,0.123928505242744,3.92780865452081e-05,5785.17854994205
seas_sst_temp_change_abs_lag1_scaled,-0.0193283418941126,0.641357883748687,0.123710541335594,1.79516931304082e-05,5785.3658218815
seas_sst_temp_change_abs_lag2_scaled,0.0765161467058871,0.029288209196535,0.124390364843249,0.000321872566527337,5780.85091071158
seas_sst_temp_change_abs_lag3_scaled,-0.0277866058184376,0.455893559859183,0.123829941889581,4.3041833038519e-05,5785.02923706972
seas_sst_temp_change_abs_lag4_scaled,0.042447440882906,0.27215197155919,0.124091031282997,9.26209777604662e-05,5784.37318444852
seas_sst_temp_change_abs_lag5_scaled,0.0433663889127992,0.228158996533897,0.124043674061244,0.000104767259405632,5784.11625064819
seas_sst_temp_change_abs_lag6_scaled,0.0387799346386691,0.283053084305426,0.124059534012422,8.44557096549604e-05,5784.42338799979
seas_sst_temp_change_abs_lag7_scaled,0.0110702920884899,0.766989534083289,0.123849586916219,6.88315236124497e-06,5785.50216038457
seas_sst_temp_change_abs_lag8_scaled,0.0532487089869093,0.141885392260603,0.12419722969027,0.00015961349757675,5783.41108688819
seas_sst_temp_change_abs_lag9_scaled,0.034917339676277,0.389306675731759,0.124089466477278,5.50445874817924e-05,5784.84313135156
max_sbt_temp_scaled,-0.195148249784018,0.335731148063517,0.125361027203733,0.00207661216133477,5784.89995683117
