family,genus,species,taxonomic.rank,taxon,LME,FAO,habitat,feeding.mode,tl,level.tl,body.shape,fin.shape,AR,offspring.size,spawning.type,age.maturity,fecundity,length.infinity,growth.coefficient,length.max,age.max
Liparidae,Careproctus,abbreviatus,S,Careproctus abbreviatus,3,77,bathydemersal,benthivorous,3.58,genus,fusiform,rounded,0.54,3.75,non-guarder,4.8,15,26,0.43,33,7
Platytroctidae,Sagamichthys,abei,S,Sagamichthys abei,1,67,bathypelagic,planktivorous,3.1,spe,elongated,forked,1.33,NA,non-guarder,NA,NA,35,0.86,33,NA
Platytroctidae,Sagamichthys,abei,S,Sagamichthys abei,2,67,bathypelagic,planktivorous,3.1,spe,elongated,forked,1.33,NA,non-guarder,NA,NA,35,0.86,33,NA
Platytroctidae,Sagamichthys,abei,S,Sagamichthys abei,3,67,bathypelagic,planktivorous,3.1,spe,elongated,forked,1.33,NA,non-guarder,NA,NA,35,0.86,33,NA
Platytroctidae,Sagamichthys,abei,S,Sagamichthys abei,3,77,bathypelagic,planktivorous,3.1,spe,elongated,forked,1.33,NA,non-guarder,NA,NA,35,0.86,33,NA
Platytroctidae,Sagamichthys,abei,S,Sagamichthys abei,65,61,bathypelagic,planktivorous,3.1,spe,elongated,forked,1.33,NA,non-guarder,NA,NA,35,0.86,33,NA
Platytroctidae,Sagamichthys,abei,S,Sagamichthys abei,65,67,bathypelagic,planktivorous,3.1,spe,elongated,forked,1.33,NA,non-guarder,NA,NA,35,0.86,33,NA
Arhynchobatidae,Bathyraja,abyssicola,S,Bathyraja abyssicola,1,61,bathydemersal,generalist,4.3,genus,flat,pointed,NA,105.8,non-guarder,8,11,90,0.08,157,20
Arhynchobatidae,Bathyraja,abyssicola,S,Bathyraja abyssicola,1,67,bathydemersal,generalist,4.3,genus,flat,pointed,NA,105.8,non-guarder,8,11,56,0.21,157,20
Arhynchobatidae,Bathyraja,abyssicola,S,Bathyraja abyssicola,2,67,bathydemersal,generalist,4.3,genus,flat,pointed,NA,105.8,non-guarder,8,11,56,0.21,157,20
Arhynchobatidae,Bathyraja,abyssicola,S,Bathyraja abyssicola,3,67,bathydemersal,generalist,4.3,genus,flat,pointed,NA,105.8,non-guarder,8,11,56,0.21,157,20
Arhynchobatidae,Bathyraja,abyssicola,S,Bathyraja abyssicola,3,77,bathydemersal,generalist,4.3,genus,flat,pointed,NA,105.8,non-guarder,8,11,56,0.21,157,20
Arhynchobatidae,Bathyraja,abyssicola,S,Bathyraja abyssicola,65,61,bathydemersal,generalist,4.3,genus,flat,pointed,NA,105.8,non-guarder,8,11,90,0.08,157,20
Arhynchobatidae,Bathyraja,abyssicola,S,Bathyraja abyssicola,65,67,bathydemersal,generalist,4.3,genus,flat,pointed,NA,105.8,non-guarder,8,11,56,0.21,157,20
Oneirodidae,Oneirodes,acanthias,S,Oneirodes acanthias,2,67,bathypelagic,planktivorous,3.1,spe,short and/or deep,rounded,1.61,0.45,NA,NA,7500,20,0.3,17,NA
Oneirodidae,Oneirodes,acanthias,S,Oneirodes acanthias,3,67,bathypelagic,planktivorous,3.1,spe,short and/or deep,rounded,1.61,0.45,NA,NA,7500,20,0.3,17,NA
Oneirodidae,Oneirodes,acanthias,S,Oneirodes acanthias,3,77,bathypelagic,planktivorous,3.1,spe,short and/or deep,rounded,1.61,0.45,NA,NA,7500,20,0.3,17,NA
Oneirodidae,Oneirodes,acanthias,S,Oneirodes acanthias,65,67,bathypelagic,planktivorous,3.1,spe,short and/or deep,rounded,1.61,0.45,NA,NA,7500,20,0.3,17,NA
Squalidae,Squalus,acanthias,S,Squalus acanthias,1,67,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,96,0.07,120,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,2,21,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,125,0.08,120,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,2,67,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,96,0.07,120,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,3,67,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,96,0.07,120,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,3,77,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,125,0.08,200,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,6,21,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,125,0.08,120,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,6,31,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,125,0.08,200,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,7,21,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,125,0.08,120,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,8,21,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,125,0.08,120,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,9,21,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,125,0.08,120,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,19,27,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,90,0.15,110,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,20,27,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,90,0.15,110,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,21,27,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,90,0.15,110,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,22,27,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,90,0.15,110,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,23,27,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,90,0.15,110,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,24,27,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,90,0.15,110,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,25,27,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,90,0.15,110,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,26,37,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,141,0.14,145,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,59,27,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,90,0.15,110,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,65,61,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,125,0.08,120,75
Squalidae,Squalus,acanthias,S,Squalus acanthias,65,67,benthopelagic,generalist,4.37,spe,elongated,heterocercal,1.46,260,bearer,8.8,11,96,0.07,120,75
Sparidae,Pagellus,acarne,S,Pagellus acarne,24,27,benthopelagic,benthivorous,3.81,spe,fusiform,forked,2.6,1,non-guarder,2.5,310500,29,0.25,37,7
Sparidae,Pagellus,acarne,S,Pagellus acarne,25,27,benthopelagic,benthivorous,3.81,spe,fusiform,forked,2.6,1,non-guarder,2.5,310500,29,0.25,37,7
Sparidae,Pagellus,acarne,S,Pagellus acarne,26,37,benthopelagic,benthivorous,3.81,spe,fusiform,forked,2.6,1,non-guarder,2.5,310500,27,0.26,37,7
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,1,21,demersal,benthivorous,3.36,spe,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,16,0.33,31,7
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,1,61,demersal,benthivorous,3.36,spe,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,16,0.33,31,7
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,1,67,demersal,benthivorous,3.36,spe,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,19,0.46,31,7
Agonidae,Podothecus,accipenserinus,S,Podothecus accipenserinus,2,21,demersal,benthivorous,3.36,spe,elongated,truncate,0.91,1.73,non-guarder,4.7,1873,16,0.33,31,7
