Genus,Species,Phylum,Class,Order,Family,spp,thermy,demers_pelag,demers_pelag_fb,mobility
Parakanthophoreus,antarcticus,Arthropoda,Malacostraca,Tanaidacea,Akanthophoreidae,Parakanthophoreus antarcticus,ectotherm,demersal,benthic,swim
Ophiostigma,abnorme,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Ophiostigma abnorme,ectotherm,demersal,benthic,crawl
Apogon,dovii,Chordata,Actinopteri,Kurtiformes,Apogonidae,Apogon dovii,ectotherm,demersal,reef-associated,swim
Apogon,novemfasciatus,Chordata,Actinopteri,Kurtiformes,Apogonidae,Apogon novemfasciatus,ectotherm,demersal,reef-associated,swim
Apogon,pacifici,Chordata,Actinopteri,Kurtiformes,Apogonidae,Apogon pacifici,ectotherm,demersal,reef-associated,swim
Acar,domingensis,Mollusca,Bivalvia,Arcoida,Arcidae,Acar domingensis,ectotherm,demersal,benthic,sessile
Ascidia,ceratodes,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia ceratodes,ectotherm,demersal,demersal,sessile
Atherinops,affinis,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Atherinops affinis,ectotherm,pelagic,pelagic-neritic,swim
Menidia,menidia,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia menidia,ectotherm,pelagic,pelagic-neritic,swim
Lipophrys,trigloides,Chordata,Actinopteri,Perciformes,Blenniidae,Lipophrys trigloides,ectotherm,demersal,demersal,swim
Parablennius,marmoreus,Chordata,Actinopteri,Perciformes,Blenniidae,Parablennius marmoreus,ectotherm,demersal,reef-associated,swim
Plagiotremus,azaleus,Chordata,Actinopteri,Perciformes,Blenniidae,Plagiotremus azaleus,ectotherm,demersal,reef-associated,swim
Metacarcinus,magister,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus magister,ectotherm,demersal,demersal,crawl
Eucidaris,tribuloides,Echinodermata,Echinoidea,Cidaroida,Cidaridae,Eucidaris tribuloides,ectotherm,demersal,benthic,crawl
Cirrhitichthys,oxycephalus,Chordata,Actinopteri,Perciformes,Cirrhitidae,Cirrhitichthys oxycephalus,ectotherm,demersal,reef-associated,swim
Distaplia,occidentalis,Chordata,Ascidiacea,Enterogona,Clavelinidae,Distaplia occidentalis,ectotherm,demersal,demersal,sessile
Clupea,harengus,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea harengus,ectotherm,demersal,benthopelagic,swim
