#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2020,1,1,0,0,265,9,11.8,99,99,99,999,1005.4,8.8,10.1,3.7,99,99
2020,1,1,0,10,262,8.7,11.2,99,99,99,999,1005.3,8.8,10.1,3.5,99,99
2020,1,1,0,20,262,8.8,11.3,99,99,99,999,1005.4,8.9,10.1,3.6,99,99
2020,1,1,0,30,258,8.5,11.1,99,99,99,999,1005.5,8.9,10.1,4,99,99
2020,1,1,0,40,262,9.2,12.2,2.14,10,6.15,101,1005.6,8.8,10.1,3.9,99,99
2020,1,1,0,50,261,9,11.8,99,99,99,999,1005.5,8.9,10.1,4.3,99,99
2020,1,1,1,0,256,9.2,11.6,99,99,99,999,1005.6,8.9,10.1,4.5,99,99
2020,1,1,1,10,255,9.5,13.1,99,99,99,999,1005.5,8.9,10.1,4.4,99,99
2020,1,1,1,20,255,9.1,11.5,99,99,99,999,1005.5,8.9,10.1,4.4,99,99
2020,1,1,1,30,255,9.3,12.3,99,99,99,999,1005.6,9,10.1,4.5,99,99
2020,1,1,1,40,249,8.7,11.2,2.01,10,5.87,83,1005.6,9.1,10.1,4.8,99,99
2020,1,1,1,50,248,8.7,11.1,99,99,99,999,1005.6,9.2,10.1,5,99,99
2020,1,1,2,0,244,8.7,11.1,99,99,99,999,1005.4,9.2,10.1,5,99,99
2020,1,1,2,10,247,8.9,11.1,99,99,99,999,1005.3,9.2,10.1,5.1,99,99
2020,1,1,2,20,242,9,11.4,99,99,99,999,1005.3,9.3,10.1,5.1,99,99
2020,1,1,2,30,238,8.9,11.1,99,99,99,999,1005.1,9.4,10.1,5.4,99,99
2020,1,1,2,40,240,8.7,10.8,2.07,9.09,5.79,95,1005,9.4,10.1,5.6,99,99
2020,1,1,2,50,243,9.5,11.5,99,99,99,999,1004.9,9.4,10.1,5.5,99,99
2020,1,1,3,0,237,8.8,11.8,99,99,99,999,1004.9,9.5,10.1,5.8,99,99
2020,1,1,3,10,235,9,11.1,99,99,99,999,1004.9,9.6,10.1,5.9,99,99
