inverts,invert
Arctogadus glacialis,no
Icelus bicornis,no
Petromyzon marinus,no
Anchoviella perfasciata,no
Micromesistius poutassou,no
Hypleurochilus geminatus,no
Neobythites gilli,no
Somniosus pacificus,no
Foetorepus agassizii,no
Cottunculus thomsonii,no
Symphurus civitatum,no
Peristedion gracile,no
Sebastes norvegicus,no
Sebastes reedi,no
Saurida caribbaea,no
Rhinobatos lentiginosus,no
Myoxocephalus polyacanthocephalus,no
Myoxocephalus jaok,no
Myoxocephalus aenaeus,no
Myoxocephalus scorpioides,no
Sphyrna lewini,no
Eumicrotremus phrynoides,no
Lethotremus muticus,no
Bathyagonus pentacanthus,no
Xeneretmus latifrons,no
Aspidophoroides olrikii,no
Coryphaenoides guentheri,no
Mobula hypostoma,no
Poromitra capito,no
Hippoglossoides robustus,no
Atheresthes evermanni,no
Etrumeus teres(sadina),no
Pontinus longispinis,no
Hemilepidotus zapus,no
Artediellus pacificus,no
Artediellus atlanticus,no
Bathyraja aleutica,no
Bathyraja maculata,no
Bathyraja parmifera,no
Bathyraja taranetzi,no
Bathyraja interrupta,no
Bathyraja richardsoni,no
Amblyraja jenseni,no
Trisopterus esmarkii,no
Monolene sessilicauda,no
Osmerus mordax,no
Notacanthus chemnitzii,no
Acipenser oxyrinchus,no
Synagrops bellus,no
Carcharhinus limbatus,no
Lopholatilus chamaeleonticeps,no
Lycodes lavalaei,no
Psettichthys melanostictus,no
Arctozenus risso kroyeri,no
Antigonia capros,no
Argentina striata,no
Lumpenella longirostris,no
Lumpenus fabricii,no
Lycenchelys verrillii,no
Macrorhamphosus scolopax,no
Parasudis truculenta,no
Stichaeus punctatus,no
Chaceon quinquedens,yes
Illex illecebrosus,yes
Illex coindetii,yes
Hippasteria phrygiana,yes
Metridium farcimen,yes
Metridium dianthus,yes
Boltenia ovifera,yes
Halocynthia aurantium,yes
Rossia pacifica,yes
Portunus gibbesii,yes
Metacarcinus magister,yes
Bathynectes longispina,yes
Chionoecetes bairdi,yes
Chionoecetes opilio,yes
Oregonia gracilis,yes
Callinectes sapidus,yes
Callinectes similis,yes
Callinectes ornatus,yes
Xiphopenaeus kroyeri,yes
Ceramaster granularis,yes
Hoplunnis macrurus,yes
Cynoscion arenarius,yes
Sabinea sarsii,yes
Sabinea septemcarinata,yes
Pagurus aleuticus,yes
Pagurus brandti,yes
Pagurus ochotensis,yes
Pagurus pollicaris,yes
Limulus polyphemus,yes
Chrysaora melanaster,yes
Chrysaora quinquecirrha,yes
Lopholithodes foraminatus,yes
Lithodes aequispinus,yes
Lithodes maja,yes
Fusitriton oregonensis,yes
Pericoptus punctatus,yes
Beringius behringi,yes
Neptunea borealis,yes
Neptunea heros,yes
Neptunea lyrata,yes
Neptunea pribiloffensis,yes
Neptunea ventricosa,yes
Homarus americanus,yes
Squilla chydaea,yes
Squilla empusa,yes
Gorgonocephalus eucnemis,yes
Tellina lutea,yes
Flabellum macandrewi,yes
Cancer borealis,yes
Cancer plebejus,yes
Modiolus modiolus,yes
Buccinum angulosum,yes
Buccinum plectrum,yes
Buccinum polare,yes
Buccinum scalariforme,yes
Euspira pallida,yes
Serripes groenlandicus,yes
Musculus discors,yes
Bathypolypus arcticus,yes
Pisaster brevispinus,yes
Clupea pallasii pallasii,yes
Farfantepenaeus aztecus,yes
Farfantepenaeus duorarum,yes
Litopenaeus setiferus,yes
Sicyonia brevirostris,yes
Sicyonia burkenroadi,yes
Sicyonia dorsalis,yes
Rimapenaeus constrictus,yes
Rimapenaeus similis,yes
Urticina crassicornis,yes
Anadara baughmani,yes
Siliqua alta,yes
Echinarachnius parma,yes
Amusium papyraceum,yes
Placopecten magellanicus,yes
Liponema brevicorne,yes
Cucumaria fallax,yes
Doris odhneri,yes
Pleurobranchaea californica,yes
Clinopegma magnum,yes
Plicifusus kroeyeri,yes
Pyrulofusus deformis,yes
Pyrulofusus melonis,yes
Volutopsius fragilis,yes
Volutopsius middendorffii,yes
Grandicrepidula grandis,yes
Aforia circinata,yes
Arctomelon stearnsii,yes
Halichondria panicea,yes
Pteraster obscurus,yes
Crossaster papposus,yes
Strongylocentrotus droebachiensis,yes
Strongylocentrotus fragilis,yes
Strongylocentrotus pallidus,yes
Lebbeus polaris,yes
Lebbeus groenlandicus,yes
Pandalus eous,yes
Pandalus tridens,yes
