variable,coef,p_value,AICc,deltaAICc,rel_likelihood,akaike_weight
max_sst_temp_scaled,-0.766081700425302,0.0030867201905531,5662.48502132065,12.6375796801049,0.00180212304429856,0.000941514138358434
min_sst_temp_scaled,0.500269533200183,0.0452003823559653,5668.13536896796,18.2879273274148,0.000106862920280838,5.58302334732313e-05
seas_sst_temp_scaled,-0.539312812010552,3.38903609278134e-06,5650.33070439316,0.48326275261752,0.785345621202445,0.410301620746318
max_sst_temp_lag1_scaled,-0.722217021653109,0.00487610606980237,5663.1671409068,13.3196992662606,0.00128133902683776,0.00066943198668643
max_sst_temp_lag2_scaled,-0.172632650354472,0.37429409871145,5669.2428739546,19.3954323140561,6.14236168799164e-05,3.20905966462809e-05
max_sst_temp_lag3_scaled,-0.147284898179662,0.442996198495021,5669.4552201566,19.6077785160533,5.523635270036e-05,2.88580778006666e-05
max_sst_temp_lag4_scaled,-0.232324660509774,0.182958365493683,5668.26771550046,18.4202738599197,0.000100020346271207,5.22553498418314e-05
max_sst_temp_lag5_scaled,-0.305876552884217,0.0725152707992403,5666.82081271001,16.9733710694636,0.000206195556778022,0.000107726291269285
max_sst_temp_lag6_scaled,-0.235688741625419,0.169442401429776,5668.72483931449,18.8773976739476,7.95838928298289e-05,4.15783819656171e-05
max_sst_temp_lag7_scaled,-0.148674761845577,0.363793203388183,5669.20199684644,19.3545552058949,6.26919440301736e-05,3.27532306144825e-05
max_sst_temp_lag8_scaled,-0.278561803596152,0.0823656917752614,5667.01698833982,17.1695466992742,0.000186930559501571,9.7661347386235e-05
max_sst_temp_lag9_scaled,-0.267265484341631,0.0913260773196506,5667.18059340696,17.3331517664128,0.000172247892510734,8.99904291298947e-05
max_sst_temp_lag10_scaled,-0.167897676479313,0.252680201300329,5668.72133499319,18.8738933526429,7.97234588307281e-05,4.16512978319873e-05
min_sst_temp_lag1_scaled,-0.210711109833723,0.224088429615126,5668.69624917852,18.8488075379755,8.07297203170176e-05,4.21770163278605e-05
min_sst_temp_lag2_scaled,-0.120647527133284,0.503559072234969,5669.62379962472,19.7763579841749,5.07713168343807e-05,2.65253323150589e-05
min_sst_temp_lag3_scaled,-0.161250764289278,0.362569945553347,5669.29135982487,19.4439181843291,5.99524330797294e-05,3.13219807893437e-05
min_sst_temp_lag4_scaled,0.108537101320076,0.593914703583155,5669.83551954116,19.9880779006135,4.56713692281622e-05,2.38608789685834e-05
min_sst_temp_lag5_scaled,-0.0107653280728417,0.955003503255524,5669.99509890677,20.1476572662232,4.21688553991971e-05,2.20310004260502e-05
min_sst_temp_lag6_scaled,-0.264569713527684,0.120604359676447,5667.82183556204,17.9743939214986,0.000124999982489083,6.53058908382345e-05
min_sst_temp_lag7_scaled,-0.453016927818824,0.0132457261219596,5663.77524953695,13.9278078964089,0.000945398573771276,0.000493920837650689
min_sst_temp_lag8_scaled,-0.220323293635592,0.202244759990443,5668.55373265343,18.7062910128907,8.66922985844742e-05,4.52921486478427e-05
min_sst_temp_lag9_scaled,-0.597930334686943,0.00204215537211332,5660.37007872346,10.522637082915,0.00518845900821755,0.00271069588060863
min_sst_temp_lag10_scaled,-0.301070253973536,0.0798187024055962,5667.14699722314,17.2995555825974,0.000175165767191069,9.15148645862774e-05
