variable,coef,p_value,conditional_R2,marginal_R2,AICc,deltaAICc,rel_likelihood,akaike_weight
max_sst_temp_scaled,-1.16574983696146,0.000104638899130556,0.279332137764564,0.0782671294756687,5602.90087154312,7.33247620045131,0.025572490369589,0.0193690336103617
min_sst_temp_scaled,0.176047263941286,0.401971031549555,0.168777732510103,0.00236633898655562,5614.1971056297,18.628710287031,9.01211985034601e-05,6.82593090305915e-05
seas_sst_temp_scaled,-0.534826336718629,4.12058741645217e-06,0.199392548101971,0.0120002896471089,5595.56839534267,0,1,0.757416791654971
max_sst_temp_lag1_scaled,-0.841718630635433,0.00188404300354202,0.222065413776323,0.0440480329117069,5606.41720651177,10.8488111690986,0.00440768537957108,0.00333845491881925
max_sst_temp_lag2_scaled,-0.561369555620873,0.02008076127332,0.185648597959756,0.0204563133424724,5609.50558640747,13.9371910648006,0.000940973545077749,0.000712709163544993
max_sst_temp_lag3_scaled,-0.436645716419541,0.0289324859022592,0.169347298428968,0.0126703016127623,5610.00177412688,14.4333787842079,0.000734229144498833,0.00055611748296588
max_sst_temp_lag4_scaled,-0.632011751572732,0.00179663160599906,0.191438267614348,0.0258006953564762,5605.43855505429,9.87015971162236,0.00718988676873084,0.00544574096873464
max_sst_temp_lag5_scaled,-0.561399520697486,0.0025880850506235,0.185128321137776,0.0208239512029191,5605.90421806007,10.3358227173976,0.00569645425231737,0.00431459010359954
max_sst_temp_lag6_scaled,-0.485780443739913,0.00626841249245934,0.175916762084699,0.0157452980661148,5607.26965533389,11.7012599912187,0.00287808540565137,0.00217991021405746
max_sst_temp_lag7_scaled,-0.320941493821738,0.0571136858070249,0.165649232015792,0.00691895979451373,5611.08606842662,15.5176730839512,0.000426953033761668,0.000323381397019119
max_sst_temp_lag8_scaled,-0.513311641163228,0.00270924767671576,0.176460755389741,0.017585493153342,5605.7581944593,10.1897991166261,0.00612792210277346,0.00464139109859426
max_sst_temp_lag9_scaled,-0.433464373221568,0.00810946539520792,0.170206494945083,0.0127064970076648,5607.66547499442,12.0970796517449,0.00236130741042108,0.00178849388291224
max_sst_temp_lag10_scaled,-0.528989733553154,0.00147946515623398,0.180658603375173,0.0186536223905652,5604.68088158545,9.11248624277323,0.010501437552935,0.00795396513910908
min_sst_temp_lag1_scaled,-0.172834419572672,0.321784384242,0.152529400072557,0.0023202895418276,5613.64688877237,18.0784934296935,0.000118660187754328,8.98752187060598e-05
min_sst_temp_lag2_scaled,-0.094415092387626,0.601984153521522,0.152268051680439,0.000690707623150186,5614.27130632125,18.7029109785826,8.68389339294275e-05,6.5773266727565e-05
min_sst_temp_lag3_scaled,-0.155809293055327,0.379681234488416,0.153554575535869,0.00188503054220754,5614.01179467085,18.4433993281755,9.8870498105101e-05,7.48861754640945e-05
min_sst_temp_lag4_scaled,-0.0596103964600144,0.74799696292026,0.15487271142316,0.000274001098795613,5614.42953559994,18.8611402572697,8.02334435105068e-05,6.07701573671584e-05
min_sst_temp_lag5_scaled,-0.0167846733182896,0.929819208366218,0.15799762711279,2.1837441007874e-05,5614.59252695554,19.0241316128686,7.39541089516466e-05,5.60140839318583e-05
min_sst_temp_lag6_scaled,-0.180444244073567,0.31289195819051,0.154917350428203,0.0025370263877673,5613.60100711194,18.0326117692721,0.000121413815462973,9.19608625705534e-05
min_sst_temp_lag7_scaled,-0.396253479334731,0.0401727707337797,0.165266295427394,0.0120443973625296,5610.24986437237,14.6814690296987,0.000648573958740948,0.000491240806980532
min_sst_temp_lag8_scaled,-0.123498495553409,0.486842690473134,0.1524151135701,0.00117903114065865,5614.0813720801,18.5129767374237,9.54900629556507e-05,7.23257771188002e-05
min_sst_temp_lag9_scaled,-0.508349562319853,0.0067250538124741,0.172808988391884,0.0194684702579455,5607.15640248957,11.5880071469028,0.00304576379508082,0.00230691264180899
min_sst_temp_lag10_scaled,-0.242419487566936,0.167022511779466,0.154466198884037,0.00451025029676957,5612.69790029087,17.1295049481932,0.000190710788444681,0.00014444755351776
seas_sst_temp_lag1_scaled,-0.269943125056277,0.0214248019446916,0.167459883939759,0.0031166128969627,5609.9865956811,14.4182003384312,0.000739822571161669,0.000560354038243202
seas_sst_temp_lag2_scaled,-0.288938047870269,0.0160046603364828,0.170877106866718,0.00356087844885238,5609.51261535737,13.9442200146932,0.000937672321560032,0.000710208761419668
seas_sst_temp_lag3_scaled,-0.177149673665591,0.0788927853215962,0.166367273508691,0.00134692533607121,5611.73461896827,16.1662236255988,0.000308708894903984,0.000233821300733527
seas_sst_temp_lag4_scaled,-0.314380453100159,0.000986642417665601,0.171329219171087,0.00418266398150161,5604.57298306104,9.00458771837202,0.0110835432687545,0.0083948617827891
